,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,1.0,0.61,0.3,0.86,0.79,0.74,0.98,0.91,0.76,0.93,0.59,0.38,0.84,0.0,0.57,0.83,0.87,0.82,0.69,0.47
extprosys.csv,1.0,0.76,0.98,0.89,0.74,0.75,0.68,0.95,0.76,1.0,0.84,0.8,0.57,0.67,0.41,0.89,1.0,0.55,0.53,0.47
freewrl.csv,1.0,0.51,0.64,0.54,0.79,0.42,0.47,0.45,0.55,0.96,0.59,0.56,0.46,0.33,0.68,0.69,0.23,0.7,0.47,0.74
glas.csv,1.0,0.37,0.4,0.46,0.44,0.5,0.47,0.59,0.71,0.37,0.35,0.39,0.39,0.33,0.95,0.81,0.42,0.6,0.41,0.32
ibatisdb.csv,0.0,0.29,0.13,0.43,0.41,0.39,0.03,0.32,0.24,0.22,0.31,0.22,0.2,0.33,0.41,0.97,0.19,0.35,0.53,0.32
japano.csv,1.0,0.86,0.94,0.57,0.77,1.0,0.64,0.68,0.95,0.74,0.59,1.0,1.0,0.67,1.0,1.0,0.55,0.7,0.69,0.89
lockss.csv,0.0,0.0,0.04,0.07,0.1,0.02,0.0,1.0,0.05,0.15,0.0,0.0,0.01,0.0,0.0,0.03,0.23,0.0,0.03,0.0
officefloor.csv,1.0,0.14,0.11,0.21,0.82,0.85,0.18,0.18,0.87,0.41,0.88,0.43,0.19,0.67,0.19,0.86,1.0,0.5,0.91,0.89
opennms.csv,0.0,0.22,0.0,0.86,0.41,0.09,0.15,0.18,0.24,0.56,0.28,0.12,0.03,0.0,0.0,0.17,0.39,0.2,0.09,0.11
papertoolkit.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
primefaces.csv,1.0,0.73,1.0,0.68,0.49,0.63,0.77,0.86,0.71,0.44,0.84,0.91,0.95,1.0,0.81,0.92,0.23,1.0,0.59,0.95
rohxel.csv,1.0,0.76,0.6,0.82,0.97,0.87,0.82,0.77,0.79,0.81,0.91,0.8,0.44,1.0,0.38,0.78,0.77,0.78,0.84,0.95
roller.csv,1.0,0.67,0.55,0.43,0.46,0.46,0.44,0.59,0.84,0.33,0.99,0.44,0.6,0.67,0.3,0.31,0.35,0.22,0.31,0.26
sevenupdate.csv,1.0,1.0,0.98,0.57,0.33,0.94,0.77,0.5,0.84,0.89,0.51,0.94,0.57,0.0,1.0,0.97,0.16,0.45,0.41,0.68
soar.csv,1.0,0.69,0.55,0.54,0.56,0.81,0.77,0.73,0.71,0.41,0.69,0.75,0.74,0.67,0.89,0.97,0.97,0.88,0.75,0.79
web-cat.csv,0.0,0.12,0.04,0.18,0.51,0.31,0.03,0.09,0.13,0.59,0.17,0.04,0.0,0.0,0.05,0.06,0.68,0.1,0.22,1.0
xcf.csv,0.0,0.59,0.6,0.71,0.67,0.47,0.56,0.55,0.58,0.19,0.6,0.95,0.87,0.67,0.89,0.36,0.23,0.62,0.97,0.74
xfce.csv,0.0,0.57,0.7,0.57,0.69,0.5,0.53,0.68,0.95,0.44,0.59,0.45,0.99,1.0,0.51,0.81,0.23,0.7,0.66,0.53
