,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.2,0.13,0.0,0.77,0.24,0.1
arsenal-1.csv,0.66,0.04,0.67,0.05,0.12,0.38
barracudamvc.csv,0.68,0.91,0.96,0.86,1.0,0.48
mevenide.csv,0.68,0.39,0.22,0.09,0.12,0.72
mumble.csv,0.69,0.96,0.56,0.14,0.84,0.24
openintents.csv,0.34,0.61,1.0,0.73,0.24,0.59
