,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,1.0,0.93,0.04,0.96,1.0
k3b.csv,0.58,0.89,0.77,0.52,0.04
myfaces.csv,0.83,0.95,0.54,0.08,0.65
robocode.csv,0.06,0.6,0.71,0.57,0.57
zildo.csv,0.7,0.0,0.85,0.63,0.68
