,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.13,0.98,0.07,0.0
k3b.csv,0.55,0.19,0.43,0.32,0.99
myfaces.csv,0.51,0.52,0.7,0.96,0.52
robocode.csv,0.96,0.6,0.54,0.29,0.64
zildo.csv,0.42,1.0,0.26,0.28,0.69
