,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.0,0.59,0.05,0.59,0.49,0.7,0.47,0.17,0.37,0.23,0.66,0.69,0.61,0.52,0.53,0.13
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.38,0.2,0.35,0.73
bionote.csv,0.36,0.59,0.12,0.27,0.38,0.0,0.18,0.45,0.21,0.31,0.1,0.48,0.94,0.53,0.43,0.17
bnetd.csv,0.3,0.0,0.27,0.4,0.4,0.47,0.45,0.0,0.64,0.45,0.74,0.4,0.68,0.63,0.47,0.17
emisview.csv,0.3,0.0,0.4,0.46,0.5,0.71,0.2,0.19,0.57,0.01,0.4,0.4,0.53,0.51,0.4,0.11
findbugs.csv,0.0,0.61,0.0,0.36,0.33,0.33,0.56,0.56,0.67,0.13,0.37,0.24,0.57,0.52,0.61,0.46
hazelcast.csv,0.46,0.66,0.63,0.61,0.96,0.46,0.51,0.57,0.46,0.49,0.57,0.57,0.64,0.69,0.48,0.66
jitterbit.csv,0.0,0.77,0.55,0.65,0.34,0.49,0.36,0.09,0.69,0.19,0.32,0.4,0.5,0.65,0.66,0.11
jppf-project.csv,0.27,0.42,0.41,0.34,0.33,0.38,0.53,0.47,0.42,0.51,0.38,0.76,0.55,0.66,0.51,0.36
kolmafia.csv,0.3,0.66,0.21,0.65,0.65,0.55,0.4,0.17,0.66,0.48,0.7,0.78,0.58,0.7,0.46,0.56
megasquirtavr.csv,0.48,0.0,0.55,0.26,0.0,0.35,0.59,0.5,0.54,0.18,0.0,0.6,0.4,0.38,0.42,0.28
qedo.csv,0.17,0.23,0.06,0.3,0.13,0.11,0.23,0.31,0.18,0.51,0.3,0.39,0.0,0.26,0.09,0.78
trackit.csv,0.39,0.0,0.36,0.53,0.26,0.46,0.54,0.11,0.52,0.24,0.35,0.05,0.14,0.11,0.29,0.21
wxlua.csv,0.4,0.35,0.44,0.35,0.25,0.3,0.45,0.02,0.51,0.71,0.13,0.42,0.48,0.43,0.37,0.51
x4x.csv,0.72,0.69,0.64,0.45,0.45,0.56,0.54,0.54,0.59,0.2,0.64,0.47,0.38,0.52,0.45,0.32
xharbour.csv,0.29,0.8,0.68,0.66,0.68,0.62,0.6,0.5,0.62,0.55,0.35,0.42,0.74,0.7,0.57,0.31
