,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,1.0,0.68,0.99,0.39,0.8,0.43,0.83,0.96,0.89,0.25,0.57,0.5,0.73,0.33,0.49,0.97
betoffice.csv,0.42,0.89,0.45,0.89,1.0,0.83,0.96,0.53,0.5,0.88,0.83,0.88,0.85,0.95,0.89,0.62
bionote.csv,0.08,0.05,0.01,0.22,0.1,0.09,0.09,0.51,0.11,0.0,0.03,0.75,0.23,0.54,0.29,0.28
bnetd.csv,0.92,1.0,0.93,0.28,0.6,0.26,0.57,1.0,0.6,0.38,0.17,0.88,0.65,0.18,0.76,0.96
emisview.csv,0.33,0.0,0.14,0.15,0.1,0.26,0.04,0.13,0.23,0.0,0.2,0.62,0.27,0.41,0.24,0.05
findbugs.csv,1.0,0.74,1.0,0.33,0.9,0.51,0.78,0.71,0.58,0.0,0.89,0.0,0.71,0.15,0.4,0.83
hazelcast.csv,0.83,0.42,0.22,0.63,0.0,0.85,0.74,0.56,0.84,0.38,0.4,0.75,0.69,0.64,0.76,0.63
jitterbit.csv,1.0,0.58,0.45,0.46,0.9,0.47,0.17,0.24,0.19,0.25,0.91,0.25,0.79,0.56,0.49,0.51
jppf-project.csv,0.92,0.63,0.86,0.54,0.9,0.79,0.78,0.84,0.8,0.75,0.83,0.12,0.62,0.46,0.76,0.66
kolmafia.csv,0.92,0.68,0.95,0.43,0.0,0.79,0.57,0.96,0.51,0.5,0.17,0.38,0.69,0.28,0.82,0.68
megasquirtavr.csv,0.83,1.0,0.12,0.39,1.0,0.87,0.7,0.73,0.33,0.0,1.0,0.5,0.77,0.54,0.4,0.89
qedo.csv,0.08,0.79,0.32,0.39,0.1,0.21,0.39,0.2,0.24,0.5,0.17,0.0,0.44,0.51,0.24,0.2
trackit.csv,0.42,0.0,0.56,0.3,0.1,0.38,0.52,0.04,0.53,0.12,0.86,0.12,0.23,0.18,0.33,0.23
wxlua.csv,0.25,0.89,0.81,0.89,0.7,0.25,0.52,0.07,0.39,0.5,0.97,0.62,0.58,0.67,0.16,0.78
x4x.csv,0.5,0.47,0.51,0.57,0.6,0.58,0.7,0.76,0.63,0.25,0.34,0.62,0.63,0.56,0.58,0.91
xharbour.csv,0.92,0.05,0.68,0.57,0.4,0.66,0.74,0.67,0.63,0.5,0.89,0.62,0.54,0.44,0.78,0.84
