,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.37,0.35,0.53,0.42,0.43,0.4,0.46,0.42,0.41,0.65,0.36,0.37,0.4,0.53,0.51,0.47
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.38,0.38,0.64
bionote.csv,0.64,0.44,0.67,0.67,0.68,0.8,0.88,0.53,0.99,0.48,0.75,0.37,0.5,0.43,0.58,0.54
bnetd.csv,0.37,0.39,0.53,0.48,0.71,0.54,0.66,0.39,0.49,0.4,0.44,0.34,0.44,0.46,0.35,0.48
emisview.csv,0.6,0.0,0.65,0.62,0.5,0.53,0.88,0.92,0.64,0.0,0.62,0.51,0.72,0.49,0.62,0.92
findbugs.csv,0.37,0.36,0.53,0.68,0.47,0.47,0.45,0.52,0.53,0.9,0.43,0.94,0.49,0.57,0.6,0.55
hazelcast.csv,0.27,0.31,0.43,0.33,0.33,0.27,0.36,0.38,0.34,0.39,0.42,0.3,0.37,0.3,0.29,0.32
jitterbit.csv,0.35,0.37,0.66,0.56,0.41,0.5,0.65,0.93,0.67,0.94,0.44,0.6,0.45,0.4,0.48,0.62
jppf-project.csv,0.4,0.8,0.61,0.78,0.48,0.4,0.46,0.42,0.46,0.71,0.59,0.42,0.51,0.47,0.35,0.53
kolmafia.csv,0.31,0.33,0.53,0.31,0.36,0.29,0.45,0.4,0.39,0.39,0.44,0.33,0.38,0.36,0.33,0.39
megasquirtavr.csv,0.38,0.39,0.63,0.74,0.44,0.38,0.52,0.53,0.73,0.92,0.42,0.5,0.43,0.71,0.72,0.53
qedo.csv,0.86,0.94,0.96,0.71,0.86,0.92,0.71,0.95,0.98,0.69,0.94,0.77,0.65,0.81,0.92,0.86
trackit.csv,0.65,0.0,0.85,0.64,0.92,0.57,0.54,0.83,0.59,0.95,0.46,0.8,0.92,0.91,0.82,0.76
wxlua.csv,0.72,0.44,0.62,0.47,0.95,0.95,0.73,0.75,0.73,0.64,0.4,0.64,0.62,0.54,0.94,0.57
x4x.csv,0.4,0.36,0.53,0.56,0.62,0.4,0.55,0.51,0.51,0.76,0.43,0.49,0.5,0.5,0.54,0.5
xharbour.csv,0.34,0.37,0.55,0.47,0.42,0.36,0.46,0.48,0.47,0.61,0.43,0.51,0.51,0.35,0.34,0.51
