,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.88,0.75,1.0,0.59,0.78,0.74,0.85,0.91,0.91,0.2,0.77,0.77,0.88,0.49,0.54,0.95
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.62,0.89,0.75,0.95
bionote.csv,0.31,0.54,0.1,0.23,0.33,0.0,0.15,0.44,0.18,0.26,0.08,0.62,1.0,0.55,0.39,0.14
bnetd.csv,0.9,1.0,1.0,0.36,0.4,0.43,0.46,1.0,0.76,0.42,0.72,0.96,0.88,0.6,0.61,0.91
emisview.csv,0.26,0.0,0.35,0.41,0.45,0.7,0.17,0.16,0.54,0.01,0.36,0.41,0.5,0.49,0.36,0.09
findbugs.csv,0.88,0.93,1.0,0.32,0.76,0.3,0.9,0.73,0.79,0.11,0.87,0.2,0.75,0.47,0.61,0.82
hazelcast.csv,0.81,0.68,0.6,0.73,0.95,0.96,0.68,0.62,0.86,0.47,0.56,0.85,0.88,0.89,0.64,0.82
jitterbit.csv,0.95,0.97,0.55,0.68,0.85,0.48,0.32,0.07,0.67,0.16,0.92,0.36,0.75,0.74,0.71,0.09
jppf-project.csv,0.69,0.43,0.8,0.32,0.75,0.48,0.83,0.89,0.59,0.7,0.56,0.74,0.62,0.7,0.71,0.36
kolmafia.csv,0.95,0.91,0.95,0.68,0.6,0.91,0.39,0.96,0.72,0.48,0.67,0.84,0.75,0.7,0.75,0.68
megasquirtavr.csv,0.9,1.0,0.5,0.23,0.89,0.61,0.78,0.64,0.52,0.15,1.0,0.63,0.5,0.36,0.39,0.45
qedo.csv,0.14,0.24,0.05,0.27,0.11,0.09,0.2,0.27,0.15,0.51,0.26,0.34,0.0,0.23,0.07,0.77
trackit.csv,0.36,0.0,0.35,0.5,0.22,0.43,0.56,0.09,0.54,0.2,0.56,0.04,0.12,0.09,0.25,0.18
wxlua.csv,0.36,0.77,0.65,0.77,0.24,0.26,0.44,0.02,0.49,0.8,0.92,0.43,0.5,0.47,0.32,0.77
x4x.csv,0.81,0.74,0.7,0.45,0.47,0.61,0.68,0.78,0.69,0.17,0.64,0.5,0.38,0.55,0.46,0.86
xharbour.csv,0.86,0.77,0.95,0.77,0.71,0.78,0.9,0.58,0.74,0.57,0.77,0.43,0.88,0.74,0.93,0.41
