,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.69,0.22,0.36,0.31,0.15,0.46,0.78,0.26,0.2,0.79,0.61
biopax.csv,0.97,0.95,1.0,0.88,0.85,1.0,0.95,0.98,0.05,1.0,1.0
crux-framework.csv,0.2,0.4,0.11,0.04,0.87,0.19,0.26,0.1,0.1,0.13,0.19
kml.csv,0.97,1.0,0.96,0.85,0.18,0.86,0.98,0.97,1.0,0.99,1.0
les-indemodables.csv,0.43,0.25,0.52,0.27,0.38,0.19,0.23,0.54,0.35,0.69,0.23
metacosm.csv,0.4,0.38,0.65,0.27,0.26,0.22,0.35,0.64,0.05,0.37,0.26
moviesandbox.csv,0.4,0.1,0.24,0.31,0.1,0.41,0.86,0.2,0.15,0.59,0.58
sigil.csv,0.49,0.1,0.3,0.19,0.0,0.24,0.26,0.52,0.1,0.83,0.55
unflobtactical.csv,0.6,0.32,0.79,0.31,0.03,0.32,0.97,0.62,0.35,0.9,0.68
xtreemfs.csv,0.71,0.92,0.44,0.5,0.46,0.27,0.83,0.2,0.2,0.68,0.52
yale.csv,0.51,0.55,0.27,0.88,0.85,0.68,0.71,0.39,0.7,0.28,0.29
