,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.27,0.05,0.02,0.04,0.04,0.03,0.08,0.02,0.03,0.09
h2database.csv,0.24,0.26,0.08,0.35,0.09,0.42,0.08,0.22,0.08,0.31
hannosset.csv,0.03,0.26,0.25,0.47,0.17,0.25,0.69,0.32,0.03,0.59
jaql.csv,0.5,0.22,0.17,0.22,0.11,0.07,0.0,0.21,0.08,0.31
megameknet.csv,0.7,0.83,0.42,0.42,0.27,0.83,0.46,0.5,0.74,0.62
ngl.csv,0.95,0.66,0.37,0.62,0.35,0.86,0.77,0.35,0.47,0.49
qedo.csv,0.32,0.14,0.13,0.14,0.26,0.03,0.54,0.22,0.79,0.22
qmmp.csv,0.89,0.86,0.63,0.74,0.24,0.68,0.77,0.49,0.19,0.67
raven-monitoring.csv,0.41,0.62,0.29,0.41,0.24,0.42,0.31,0.54,0.76,0.21
v8.csv,0.27,0.33,0.87,0.78,0.68,0.46,0.23,0.65,0.63,0.77
