,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.25,0.24,0.5,0.79,0.44,0.0,0.75,0.91,0.87,0.09
h2database.csv,0.25,0.29,0.5,0.56,0.6,0.09,0.97,0.68,0.74,0.03
hannosset.csv,0.08,0.14,0.35,0.32,0.21,0.23,0.89,0.47,0.82,0.03
jaql.csv,0.17,0.21,0.53,0.66,0.53,0.17,1.0,0.61,0.5,0.03
megameknet.csv,0.13,0.11,0.48,0.47,0.43,0.08,0.95,0.57,0.47,0.08
ngl.csv,0.12,0.14,0.51,0.45,0.36,0.08,0.94,0.68,0.62,0.06
qedo.csv,0.07,0.02,0.63,0.28,0.1,0.0,0.85,0.45,0.43,0.24
qmmp.csv,0.13,0.14,0.46,0.4,0.38,0.11,0.93,0.6,0.77,0.06
raven-monitoring.csv,0.1,0.1,0.61,0.4,0.36,0.03,0.96,0.42,0.35,0.14
v8.csv,0.04,0.18,0.37,0.33,0.22,0.14,0.98,0.47,0.34,0.08
