,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.6,0.96,0.5,0.97,0.94,0.5,0.75,0.98,0.93,0.96
h2database.csv,0.65,0.59,0.88,0.43,0.75,0.41,0.97,0.53,0.84,0.57
hannosset.csv,0.92,0.92,0.95,0.7,0.98,0.82,0.75,0.99,0.91,0.71
jaql.csv,0.39,0.62,0.68,0.47,0.6,0.83,0.62,0.76,0.9,0.51
megameknet.csv,0.41,0.39,0.45,0.49,0.52,0.37,0.4,0.49,0.46,0.51
ngl.csv,0.38,0.4,0.46,0.37,0.44,0.34,0.46,0.45,0.43,0.35
qedo.csv,0.82,0.98,0.95,0.97,0.99,0.5,0.98,0.99,0.57,0.8
qmmp.csv,0.4,0.37,0.44,0.4,0.6,0.38,0.47,0.52,0.56,0.4
raven-monitoring.csv,0.59,0.48,0.55,0.55,0.62,0.87,0.68,0.85,0.69,0.79
v8.csv,0.99,0.69,0.42,0.47,0.56,0.65,0.49,0.7,0.83,0.58
