,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.45,0.4,0.6,0.8,0.56,0.68
empyrean.csv,0.37,1.0,1.0,1.0,1.0,1.0
impala.csv,0.71,0.92,0.96,0.46,0.76,0.58
multitude.csv,0.85,0.77,0.82,0.96,0.42,0.46
nutz.csv,0.69,0.88,0.37,0.67,0.94,0.92
pi-qmc.csv,0.74,0.63,0.48,0.76,0.63,0.29
