,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.65,1.0,0.02,0.5,0.34,1.0,0.22,0.89,0.19,0.33,0.26,0.6,0.53,1.0,0.33,0.0,0.95,0.17,1.0
autat.csv,0.12,0.34,0.16,0.5,0.28,0.5,0.21,0.09,0.08,0.83,0.21,0.07,0.61,0.0,0.0,0.0,0.02,0.3,0.56
critterding.csv,0.57,0.29,0.81,1.0,0.79,1.0,0.87,0.45,0.74,0.83,0.74,0.81,0.95,0.6,0.33,0.44,0.83,0.52,0.88
elateportal.csv,0.81,0.88,0.53,0.5,0.74,0.57,0.58,0.43,0.38,1.0,0.63,0.33,0.81,0.4,0.0,0.89,0.16,0.48,0.8
factor.csv,0.82,0.24,0.12,0.5,0.19,0.07,0.3,0.34,0.15,0.0,0.16,0.16,0.48,0.07,0.0,1.0,0.04,0.13,0.16
fceugc.csv,0.56,0.49,0.26,0.75,0.69,0.29,0.74,0.17,0.4,0.83,0.32,0.72,0.4,0.6,0.33,0.22,0.95,0.74,0.6
jstock.csv,0.52,0.15,0.26,0.5,0.49,0.17,0.24,0.09,0.3,0.5,0.47,0.26,0.17,0.13,0.17,0.0,0.07,0.13,0.32
keyczar.csv,0.37,0.59,0.23,0.0,0.13,0.0,0.3,0.26,0.28,0.0,0.47,0.3,0.2,0.4,0.33,0.89,0.31,0.17,0.25
mimosa.csv,0.75,0.83,0.84,1.0,0.94,0.24,0.72,0.81,0.87,0.67,0.89,0.72,0.47,1.0,1.0,1.0,0.97,0.65,0.68
miranda.csv,0.0,0.0,0.37,0.5,0.03,0.02,0.52,0.0,0.02,0.17,0.21,0.02,0.15,0.2,0.5,1.0,0.0,0.17,0.38
nativeclient.csv,0.54,0.2,0.26,0.5,0.44,0.19,0.62,0.36,0.47,0.5,0.53,0.37,0.13,0.13,0.33,0.28,0.3,0.26,0.3
ogre.csv,0.65,0.37,0.74,0.0,0.69,0.21,0.92,0.55,0.85,0.5,0.68,0.86,0.43,1.0,1.0,0.78,0.83,0.78,0.28
openfrag.csv,0.14,0.34,0.42,1.0,0.84,0.81,0.34,0.02,0.23,0.83,0.47,0.56,0.66,0.0,0.33,0.33,0.18,0.65,0.78
qdvdauthor.csv,0.99,0.49,0.65,1.0,0.71,0.83,0.7,1.0,0.72,0.5,0.42,0.44,0.64,0.2,0.33,0.94,0.9,0.35,0.13
qse.csv,0.32,0.24,0.12,0.5,0.22,0.79,0.46,0.13,0.15,0.67,0.32,0.51,0.2,0.13,0.0,0.0,0.0,0.3,0.52
reactos-mirror.csv,0.27,0.46,0.47,1.0,0.34,0.26,0.53,0.34,0.38,0.5,0.53,0.58,0.49,0.33,0.67,1.0,1.0,0.48,1.0
sandiaportals.csv,0.44,0.63,0.47,0.5,0.76,0.86,0.28,0.6,0.19,1.0,0.53,0.21,0.68,0.0,0.0,0.17,0.28,0.26,0.74
synergyspace.csv,0.31,0.44,0.19,0.5,0.65,0.1,0.35,0.81,0.32,0.33,0.32,0.3,0.29,0.27,0.0,0.06,0.46,0.04,0.11
uclmda.csv,0.14,0.44,0.14,0.0,0.18,0.12,0.05,0.13,0.21,0.0,0.11,0.07,0.59,0.0,0.17,0.39,0.02,0.35,0.12
