,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.9,0.91,0.82,0.65,0.58,0.79,0.71,1.0,0.79,0.66,0.57,1.0,0.98,0.75,0.74
grafx2.csv,0.49,0.4,0.73,0.5,0.95,0.42,0.56,0.38,0.64,0.51,0.57,1.0,0.39,0.25,0.6
keyczar.csv,0.23,0.51,0.41,0.27,0.42,0.47,0.27,0.12,0.13,0.78,0.14,0.33,0.36,0.98,0.74
lmms.csv,0.69,0.99,0.77,0.65,0.74,0.36,0.51,0.56,0.72,0.93,0.64,1.0,0.59,0.92,0.79
lufa-lib.csv,0.51,0.38,0.27,0.38,0.63,0.4,0.36,0.56,0.38,0.98,0.57,0.0,0.3,0.27,0.34
netatalk.csv,0.36,0.25,0.73,0.27,0.4,0.24,0.35,0.5,0.51,0.29,0.93,0.33,0.29,0.04,0.23
openmeetings.csv,0.23,0.14,0.95,0.54,0.6,0.28,0.2,0.5,0.38,0.58,0.57,0.0,0.08,0.02,0.11
openxava.csv,0.51,0.38,0.73,0.35,0.37,0.66,0.48,0.94,0.43,0.43,0.64,1.0,0.48,0.29,0.34
pgui.csv,0.38,0.41,0.45,0.54,0.63,0.19,0.4,0.38,0.87,0.37,0.5,0.33,0.42,0.1,0.19
qpe.csv,0.77,0.16,0.77,0.35,0.19,0.7,0.21,0.12,0.17,0.1,0.14,0.0,0.26,0.04,0.04
quickfast.csv,0.79,0.78,0.91,0.54,0.7,0.74,0.67,0.81,0.72,0.5,0.79,1.0,0.73,0.62,1.0
rsyslog.csv,0.77,0.65,0.82,1.0,0.79,0.56,0.74,0.69,0.87,0.98,0.93,1.0,0.7,0.62,0.6
sylpheed-claws.csv,0.46,0.5,0.45,0.35,0.7,0.77,0.97,0.88,0.38,0.5,0.57,0.33,0.41,0.54,0.64
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
yale.csv,0.54,0.64,0.73,0.35,0.6,0.93,0.25,0.25,0.34,0.62,0.64,0.33,0.74,1.0,0.34
