,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.76,0.86,0.0,0.38,0.91,0.8,0.45,0.8,0.89,0.6
arsenal-1.csv,0.35,0.9,0.45,0.5,0.86,0.83,0.8,0.73,0.8,0.0
barracudamvc.csv,0.41,0.34,0.36,0.33,0.36,0.33,0.35,0.48,0.41,0.46
irplus.csv,0.33,0.27,0.67,0.37,0.38,0.43,0.33,0.5,0.29,0.31
lite.csv,0.5,0.56,0.42,0.88,0.47,0.52,0.58,0.62,0.57,0.76
mevenide.csv,0.38,0.44,0.5,0.67,0.92,0.75,0.5,0.74,0.75,0.64
ontopia.csv,0.92,0.36,0.78,0.41,0.42,0.67,0.33,0.67,0.47,0.45
openintents.csv,0.88,0.44,0.48,0.67,0.94,0.39,0.48,0.62,0.88,0.74
ta3d.csv,0.53,0.88,0.37,0.5,0.52,0.82,0.91,0.78,0.75,0.48
tweetsharp.csv,0.8,0.72,0.42,0.39,0.9,0.61,0.42,0.76,0.51,0.58
