,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.05,0.72,0.63,0.4,0.0,0.0,0.53,0.2,0.93,0.49
betoffice.csv,0.53,0.11,0.01,0.37,0.2,0.1,0.0,0.17,0.76,0.14
bnetd.csv,1.0,0.8,0.56,0.72,0.57,0.0,0.87,0.06,0.91,0.71
graphmak.csv,0.05,0.0,0.07,0.12,0.07,0.0,0.07,0.03,0.04,0.09
hazelcast.csv,0.47,0.91,0.3,0.86,0.67,0.0,0.78,0.54,0.82,0.7
megasquirtavr.csv,0.37,0.87,0.0,0.49,0.63,0.7,0.6,0.09,0.91,0.72
pdfedit.csv,0.21,0.59,0.16,0.02,0.46,0.1,0.31,0.43,0.69,0.62
stajistics.csv,0.11,0.43,0.3,0.19,0.74,0.1,0.18,0.49,0.4,0.01
twostep.csv,0.42,0.43,0.68,0.44,0.57,0.1,0.71,0.37,0.0,0.3
xharbour.csv,0.05,0.85,0.27,0.44,0.46,0.7,0.56,0.91,0.82,0.81
