,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.94,0.44,0.53,0.56,0.62,0.65,0.75,0.88,0.48,0.6
betoffice.csv,0.97,0.89,0.67,0.74,0.92,0.88,0.62,0.93,0.72,0.94
bnetd.csv,0.38,0.38,0.53,0.33,0.31,0.33,0.41,0.5,0.42,0.44
graphmak.csv,0.89,0.57,0.83,0.89,0.75,0.9,0.83,0.83,0.86,0.93
hazelcast.csv,0.32,0.37,0.44,0.34,0.33,0.35,0.35,0.37,0.37,0.39
megasquirtavr.csv,0.69,0.4,0.81,0.59,0.37,0.41,0.46,0.83,0.42,0.47
pdfedit.csv,0.42,0.53,0.71,0.53,0.52,0.57,0.7,0.59,0.66,0.54
stajistics.csv,0.95,0.37,0.96,0.79,0.48,0.48,0.73,0.76,0.33,0.62
twostep.csv,0.36,0.51,0.67,0.56,0.36,0.38,0.42,0.47,0.48,0.47
xharbour.csv,0.38,0.46,0.56,0.5,0.52,0.45,0.58,0.45,0.5,0.51
