,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.81,0.73,0.64,0.76,0.05,0.64,0.77,0.77,0.95,0.58
betoffice.csv,0.94,0.85,0.9,0.67,0.84,0.73,0.07,0.81,1.11,0.78
bnetd.csv,1.0,0.81,0.58,0.74,0.58,0.29,0.87,0.06,0.91,0.76
graphmak.csv,0.81,0.08,0.65,0.91,0.96,0.82,0.94,0.87,0.81,0.74
hazelcast.csv,0.55,0.91,0.5,0.87,0.68,0.0,0.8,0.59,0.82,0.7
megasquirtavr.csv,0.76,0.87,0.2,0.8,0.67,0.7,0.69,0.77,0.91,0.73
pdfedit.csv,0.62,0.81,0.77,0.03,0.71,0.52,0.66,0.71,0.92,0.74
stajistics.csv,0.8,0.59,0.9,0.77,0.76,0.54,0.86,0.74,0.44,0.17
twostep.csv,0.53,0.54,0.77,0.75,0.63,0.41,0.81,0.59,0.04,0.48
xharbour.csv,0.05,0.87,0.48,0.61,0.64,0.74,0.79,0.93,0.87,0.84
