,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.24,0.62,0.7,0.38,0.96,0.41,0.45,0.3,0.26,0.65
betoffice.csv,0.25,0.19,0.12,0.47,0.21,0.31,0.94,0.25,0.2,0.27
bnetd.csv,0.0,0.55,0.72,0.59,0.72,0.75,0.41,0.96,0.32,0.56
graphmak.csv,0.24,0.93,0.4,0.11,0.06,0.22,0.09,0.16,0.23,0.31
hazelcast.csv,0.66,0.33,0.62,0.43,0.67,1.0,0.52,0.68,0.51,0.64
megasquirtavr.csv,0.36,0.42,0.83,0.39,0.63,0.65,0.59,0.27,0.33,0.64
pdfedit.csv,0.45,0.43,0.29,0.98,0.47,0.54,0.46,0.46,0.36,0.54
stajistics.csv,0.25,0.59,0.18,0.3,0.57,0.52,0.19,0.45,0.76,0.86
twostep.csv,0.66,0.65,0.54,0.42,0.64,0.64,0.51,0.56,0.97,0.64
xharbour.csv,0.98,0.43,0.62,0.58,0.55,0.58,0.44,0.32,0.45,0.49
