,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.32,0.55,0.43,0.4,0.98,0.53,0.45,0.36,0.47,0.49
betoffice.csv,0.33,0.24,0.17,0.49,0.23,0.42,0.97,0.3,0.15,0.3
bnetd.csv,0.9,0.56,0.44,0.64,0.57,0.83,0.66,0.96,0.53,0.44
graphmak.csv,0.32,0.96,0.44,0.15,0.08,0.31,0.12,0.22,0.3,0.36
hazelcast.csv,0.78,0.54,0.44,0.66,0.55,1.0,0.62,0.68,0.57,0.51
megasquirtavr.csv,0.47,0.52,0.89,0.4,0.5,0.9,0.59,0.35,0.56,0.52
pdfedit.csv,0.57,0.35,0.27,0.98,0.38,0.65,0.49,0.48,0.3,0.4
stajistics.csv,0.34,0.5,0.13,0.35,0.49,0.63,0.23,0.47,0.65,0.89
twostep.csv,0.77,0.55,0.31,0.43,0.5,0.74,0.53,0.58,0.98,0.54
xharbour.csv,0.99,0.48,0.46,0.57,0.44,0.81,0.44,0.63,0.46,0.44
