,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.35,0.97,0.5,0.28,0.41,0.53
empyrean.csv,0.99,0.59,0.35,0.52,0.51,0.3
impala.csv,0.4,0.41,0.23,0.83,0.28,0.53
multitude.csv,0.42,0.58,0.71,0.39,0.93,0.68
nutz.csv,0.54,0.02,0.98,0.28,0.41,0.06
pi-qmc.csv,0.23,0.49,0.49,0.1,0.3,0.96
