,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.55,0.13,0.25,0.14,0.5,0.17,1.0,0.21,0.37,0.44,0.69
bscwweasel.csv,0.0,0.5,0.5,1.0,0.79,0.0,0.61,0.29,0.5,0.5,1.0
capcode.csv,0.0,0.1,0.27,0.19,0.25,1.0,0.73,0.51,0.24,0.36,0.86
lamp.csv,0.0,0.93,0.44,0.44,0.55,0.2,0.82,0.5,0.75,0.67,0.6
nodal.csv,0.6,0.09,0.33,0.13,0.48,0.17,0.8,0.24,1.0,0.44,0.4
pydev.csv,0.67,0.22,0.53,0.19,0.65,0.15,0.8,0.24,0.33,1.0,0.17
retromenu.csv,0.5,0.19,0.52,0.33,1.0,0.2,0.78,0.9,0.4,0.5,1.0
smbopensoft.csv,0.95,0.12,0.25,0.18,0.43,0.24,0.71,0.24,0.39,0.44,0.65
stuproa-cims.csv,0.49,0.12,0.22,0.18,0.34,0.15,0.68,1.0,0.27,0.41,0.68
thout.csv,0.5,0.09,0.98,0.1,0.25,0.14,0.74,0.28,0.27,0.34,0.62
uface.csv,0.48,0.09,0.25,0.2,0.33,0.14,0.74,0.26,0.28,0.33,1.0
