,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,4.0,10.0,12.0,21.0,6.0,0.0,0.0,1.0,2.0,1.0,8.0
bscwweasel.csv,199.0,0.0,4.0,0.0,0.0,82.0,0.0,5.0,1.0,2.0,0.0
capcode.csv,199.0,33.0,2.0,15.0,2.0,0.0,2.0,3.0,3.0,2.0,4.0
lamp.csv,199.0,0.0,7.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0
nodal.csv,2.0,12.0,2.0,38.0,5.0,7.0,0.0,9.0,0.0,2.0,0.0
pydev.csv,0.0,5.0,4.0,16.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0
retromenu.csv,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
smbopensoft.csv,0.0,8.0,1.0,20.0,3.0,5.0,0.0,6.0,3.0,1.0,16.0
stuproa-cims.csv,1.0,26.0,2.0,4.0,9.0,7.0,1.0,0.0,2.0,2.0,0.0
thout.csv,1.0,11.0,0.0,49.0,13.0,0.0,2.0,5.0,1.0,2.0,0.0
uface.csv,1.0,12.0,2.0,13.0,8.0,19.0,2.0,0.0,1.0,1.0,0.0
