,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.07,0.47,0.52,0.6,0.73,0.63,0.98,0.42,0.64,0.68,0.5
bscwweasel.csv,0.0,0.09,0.27,1.0,0.57,0.0,0.12,0.05,0.05,0.07,0.06
capcode.csv,0.0,0.33,0.52,0.7,0.06,0.86,0.33,0.4,0.38,0.56,0.38
lamp.csv,0.0,0.94,0.31,0.24,0.56,0.2,0.16,0.05,0.16,0.26,0.04
nodal.csv,0.04,0.5,0.51,0.59,0.59,0.51,0.34,0.33,0.86,0.57,0.23
pydev.csv,0.02,0.17,0.21,0.53,0.65,0.37,0.09,0.26,0.2,0.95,0.06
retromenu.csv,0.56,0.33,0.41,0.29,1.0,0.53,0.16,0.19,0.39,0.51,0.07
smbopensoft.csv,0.95,0.6,0.55,0.6,0.76,0.67,0.5,0.48,0.55,0.57,0.39
stuproa-cims.csv,0.09,0.33,0.54,0.44,0.42,0.5,0.44,0.98,0.57,0.67,0.58
thout.csv,0.01,0.48,0.94,0.39,0.29,0.36,0.48,0.5,0.55,0.52,0.09
uface.csv,0.09,0.13,0.42,0.79,0.38,0.34,0.3,0.54,0.55,0.52,0.99
