,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.79,0.59,0.7,0.68,0.17,0.71,0.6,0.05,0.06,0.18,0.57,0.17,0.44
grafx2.csv,0.74,0.7,0.67,0.77,0.39,0.66,0.68,0.64,0.77,0.71,0.53,0.72,0.63
jahshakafx.csv,0.8,0.67,0.76,0.67,0.35,0.74,0.52,0.18,0.52,0.71,0.65,0.69,0.48
kftpgrabber.csv,0.73,0.38,0.0,0.1,0.45,0.49,0.11,0.05,0.27,0.11,0.83,0.17,0.26
kindb.csv,0.83,0.54,0.77,0.74,0.53,0.73,0.76,0.05,0.23,0.83,0.72,0.09,0.64
maya-work-in-progress.csv,0.66,0.7,0.7,0.7,0.7,0.72,0.87,0.74,0.77,0.6,0.67,0.67,0.68
netatalk.csv,0.57,0.62,0.63,0.13,0.28,0.63,0.58,0.13,0.66,0.61,0.53,0.65,0.45
nullc.csv,0.67,0.0,0.0,0.05,0.71,0.66,0.39,0.45,0.7,0.7,0.48,0.56,0.53
plee-the-bear.csv,0.79,0.44,0.76,0.05,0.41,0.54,0.58,0.44,0.61,0.53,0.44,0.55,0.49
reaper-ecad.csv,0.5,0.13,0.07,0.64,0.26,0.35,0.04,0.0,0.02,0.07,0.34,0.17,0.2
unimrcp.csv,0.8,0.7,0.72,0.76,0.52,0.72,0.68,0.85,0.52,0.76,0.73,0.48,0.56
unladen-swallow.csv,0.2,0.46,0.47,0.05,0.17,0.48,0.46,0.67,0.47,0.43,0.51,0.7,0.1
xmoto.csv,0.7,0.69,0.67,0.1,0.56,0.71,0.55,0.53,0.64,0.24,0.64,0.0,0.73
