,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,194.5,198.0,198.0,6072.5,91.5,1262.0,96.5,39.5,81.5,28.5,98.5,79.5,97.5
grafx2.csv,2445.5,99.0,198.0,4571.0,97.5,1654.0,96.5,1054.0,97.5,97.5,98.5,281.5,97.5
jahshakafx.csv,193.5,198.0,198.0,2288.0,91.5,2400.5,96.5,62.5,97.5,89.5,98.5,278.5,97.5
kftpgrabber.csv,94.5,99.0,612.0,333.5,97.5,377.0,92.5,59.0,94.5,21.5,98.5,59.5,97.5
kindb.csv,194.5,198.0,99.0,3369.5,91.5,1829.0,96.5,62.5,97.5,97.5,98.5,3.5,97.5
maya-work-in-progress.csv,2445.5,297.0,198.0,2666.5,97.5,1232.5,96.5,189.0,97.5,97.5,98.5,265.5,97.5
netatalk.csv,1953.0,198.0,198.0,9803.5,91.5,949.5,96.5,384.0,97.5,183.0,98.5,281.5,97.5
nullc.csv,336.0,297.0,198.0,9930.0,97.5,758.0,96.5,456.5,97.5,97.5,98.5,262.5,97.5
plee-the-bear.csv,194.5,99.0,99.0,127.5,94.5,2407.5,96.5,192.5,97.5,97.5,98.5,281.5,92.5
reaper-ecad.csv,82.5,495.0,182.0,1878.5,97.5,182.0,96.5,0.0,7.5,21.5,93.5,59.5,65.5
unimrcp.csv,293.5,99.0,198.0,5120.0,97.5,668.0,96.5,93.5,97.5,97.5,98.5,82.5,97.5
unladen-swallow.csv,238.5,99.0,382.0,255.0,91.5,1244.5,96.5,93.5,97.5,89.5,98.5,281.5,95.5
xmoto.csv,662.0,198.0,198.0,165.0,97.5,3411.5,96.5,841.0,97.5,97.5,98.5,380.5,97.5
