,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.15,0.16,0.22,0.27,0.98,0.07,0.77,0.19,0.33,0.29
autoopencas.csv,0.36,0.43,0.34,0.44,0.55,0.25,0.98,0.34,0.11,0.46
gogoego.csv,0.39,0.16,0.94,0.4,0.21,0.12,0.17,0.21,0.09,0.42
jam-daq.csv,0.38,0.44,0.44,0.41,0.07,0.36,0.17,0.17,0.97,0.47
jhotdraw.csv,0.45,0.34,0.29,0.05,0.43,0.92,0.11,0.12,0.19,0.05
pokeglobal.csv,1.0,0.55,0.58,0.66,0.54,0.62,0.51,0.66,0.66,0.66
robocode.csv,0.43,0.97,0.49,0.09,0.07,0.44,0.0,0.42,0.56,0.09
springside.csv,0.59,0.68,0.62,0.4,0.21,0.7,0.5,1.0,0.69,0.37
trinitycore.csv,0.41,0.41,0.33,0.81,0.14,0.25,0.09,0.44,0.46,0.94
uwom-server.csv,0.18,0.45,0.41,0.94,0.18,0.27,0.31,0.12,0.4,0.92
