,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.8,0.89,0.98,0.98,0.72,0.98,0.5,0.93,0.75,0.98
autoopencas.csv,0.74,0.81,0.75,0.77,0.79,0.99,0.88,0.81,0.91,0.74
gogoego.csv,0.59,0.75,0.83,0.61,0.6,0.97,0.96,0.96,0.83,0.6
jam-daq.csv,0.57,0.5,0.62,0.79,0.7,0.86,0.79,0.9,0.51,0.74
jhotdraw.csv,0.56,0.92,0.93,0.86,0.72,0.98,0.95,0.93,0.92,0.89
pokeglobal.csv,0.49,0.45,0.38,0.43,0.44,0.38,0.39,0.5,0.34,0.42
robocode.csv,0.55,0.5,0.69,0.97,0.79,0.71,0.93,0.74,0.51,0.97
springside.csv,0.39,0.36,0.44,0.68,0.48,0.38,0.48,0.58,0.37,0.7
trinitycore.csv,0.66,0.87,0.73,0.91,0.9,0.97,0.92,0.94,0.75,0.82
uwom-server.csv,0.92,0.74,0.65,0.81,0.79,0.67,0.75,0.91,0.75,0.79
