,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.22,0.19,0.23,0.23,0.98,0.07,0.54,0.25,0.36,0.24
autoopencas.csv,0.39,0.41,0.24,0.33,0.54,0.18,0.99,0.26,0.14,0.33
gogoego.csv,0.48,0.22,0.96,0.32,0.23,0.13,0.17,0.24,0.12,0.34
jam-daq.csv,0.45,0.49,0.38,0.43,0.09,0.31,0.16,0.24,0.98,0.47
jhotdraw.csv,0.51,0.39,0.28,0.06,0.43,0.95,0.12,0.16,0.25,0.06
pokeglobal.csv,1.0,0.52,0.38,0.44,0.67,0.32,0.37,0.59,0.62,0.44
robocode.csv,0.47,0.98,0.4,0.09,0.09,0.31,0.0,0.33,0.59,0.09
springside.csv,0.64,0.64,0.41,0.29,0.21,0.38,0.35,0.99,0.65,0.27
trinitycore.csv,0.46,0.39,0.24,0.87,0.15,0.27,0.11,0.46,0.49,0.96
uwom-server.csv,0.23,0.43,0.31,0.96,0.21,0.15,0.3,0.17,0.42,0.93
