,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.0,0.21,0.16,0.26,0.0,0.16,0.54,0.06,0.28,0.27
autoopencas.csv,0.69,0.57,0.44,0.36,0.46,0.24,0.0,0.59,0.13,0.4
gogoego.csv,0.1,0.04,0.0,0.29,0.4,0.1,0.16,0.17,0.06,0.29
jam-daq.csv,0.24,0.18,0.23,0.11,0.23,0.14,0.19,0.03,0.0,0.11
jhotdraw.csv,0.69,0.21,0.18,0.03,0.51,0.0,0.14,0.1,0.09,0.04
pokeglobal.csv,0.0,0.61,0.66,0.61,0.8,0.62,0.76,0.29,0.59,0.65
robocode.csv,0.48,0.0,0.26,0.16,0.34,0.27,0.11,0.61,0.24,0.16
springside.csv,0.28,0.54,0.51,0.35,0.49,0.55,0.49,0.01,0.44,0.35
trinitycore.csv,0.45,0.5,0.4,0.0,0.46,0.08,0.08,0.15,0.24,0.0
uwom-server.csv,0.21,0.46,0.33,0.0,0.26,0.43,0.2,0.06,0.3,0.01
