,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.88,0.9,0.82,0.81,0.03,0.95,0.54,0.84,0.76,0.79
autoopencas.csv,0.94,0.8,0.82,0.69,0.64,0.83,0.02,0.9,0.92,0.69
gogoego.csv,0.67,0.87,0.07,0.71,0.91,0.91,0.88,0.83,0.93,0.68
jam-daq.csv,0.7,0.63,0.64,0.65,0.97,0.71,0.88,0.86,0.04,0.59
jhotdraw.csv,0.84,0.73,0.77,0.96,0.77,0.1,0.92,0.9,0.85,0.96
pokeglobal.csv,0.0,0.72,0.72,0.64,0.8,0.67,0.82,0.45,0.63,0.67
robocode.csv,0.76,0.04,0.61,0.94,1.0,0.65,1.01,0.84,0.53,0.94
springside.csv,0.52,0.58,0.61,0.73,0.95,0.58,0.7,0.01,0.52,0.76
trinitycore.csv,0.76,0.79,0.8,0.23,0.99,0.79,0.94,0.63,0.63,0.07
uwom-server.csv,0.88,0.73,0.71,0.07,0.89,0.87,0.75,0.9,0.71,0.09
