,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.73,0.64,0.55,0.68,0.79,0.77,0.03,0.6,1.08,0.96,1.02,0.74,0.58,0.58,0.88,0.89,0.81,0.81
fbmanager.csv,0.67,0.64,0.0,0.62,0.8,0.88,0.67,0.53,0.84,0.8,0.61,0.67,0.71,0.77,0.63,0.54,0.67,0.86
fido.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0
fityk.csv,0.5,0.64,0.62,0.65,0.59,0.56,0.82,0.6,0.86,0.83,0.53,0.62,0.05,0.75,0.6,0.32,0.62,0.57
fleet-simulator.csv,0.82,0.86,0.91,0.83,0.8,1.0,0.95,0.87,0.53,0.37,0.92,0.8,0.96,0.95,0.72,0.0,0.76,0.86
google-caja.csv,0.6,0.86,0.55,0.03,0.82,0.89,0.65,0.6,0.79,0.79,0.91,0.56,0.68,0.88,0.63,0.46,0.75,0.48
hibernate.csv,0.66,0.61,0.83,0.67,0.71,0.88,0.78,0.69,0.25,0.46,1.02,0.73,0.87,0.66,0.63,1.13,0.04,0.93
itext.csv,0.51,0.66,0.53,0.64,0.6,0.62,0.79,0.09,0.51,0.38,0.82,0.56,0.68,0.78,0.7,0.72,0.75,0.62
k3b.csv,0.73,0.76,0.67,0.57,0.47,0.05,0.84,0.57,0.36,0.51,0.34,0.46,0.68,0.67,0.5,0.48,0.56,0.64
megameknet.csv,0.81,0.79,0.74,0.59,0.59,0.69,0.78,0.74,0.59,0.78,0.65,0.1,0.71,0.78,0.83,1.07,0.68,0.63
myfaces.csv,0.76,0.61,0.72,0.89,0.06,0.72,0.67,0.76,0.89,0.89,1.03,0.74,0.77,0.59,0.65,1.0,0.8,0.77
ninject.csv,1.0,0.85,0.94,0.84,0.72,0.97,0.93,0.89,0.44,0.63,0.54,0.7,0.91,0.82,0.88,0.81,0.69,0.0
ondex.csv,0.78,0.77,0.71,0.82,0.89,0.64,0.81,0.53,0.65,0.73,1.15,0.91,0.72,0.21,0.87,0.52,0.8,0.81
paintown.csv,0.04,0.77,0.49,0.6,0.76,0.68,0.83,0.55,0.65,0.41,0.87,0.54,0.67,0.87,0.43,0.24,0.67,0.47
poormans.csv,0.81,0.74,0.58,0.68,0.5,0.62,0.88,0.81,0.66,0.67,1.03,0.62,0.69,0.59,0.09,0.58,0.76,0.8
powerfolder.csv,1.0,0.94,1.0,1.0,0.96,1.0,0.97,1.0,0.0,1.0,1.0,0.97,1.0,0.97,0.97,1.0,0.99,0.8
smartgwt.csv,0.74,0.66,0.77,0.76,0.82,0.68,0.84,0.47,0.29,0.02,0.56,0.7,0.87,0.63,0.62,0.78,0.69,0.76
triplea.csv,0.73,0.0,0.58,0.56,0.59,0.74,0.62,0.74,0.42,0.52,0.86,0.55,0.63,0.58,0.65,0.73,0.61,0.53
