,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.89,0.09,0.49,0.2,0.29,0.34,0.19,0.05,0.5,0.29,0.08,0.94,0.18,0.21,0.36,0.66,0.0
botsnscouts.csv,0.64,0.34,0.02,0.22,0.45,0.52,0.22,0.45,0.5,0.28,0.21,0.46,0.89,0.37,0.69,0.07,0.41
cities3d.csv,0.23,0.2,0.47,0.3,0.35,0.52,0.11,0.02,0.0,0.41,0.0,0.55,0.21,0.21,0.29,0.97,0.29
dynalloy.csv,0.3,0.49,0.55,0.8,0.71,0.75,0.59,0.27,0.5,0.43,0.68,0.99,0.66,0.63,0.67,0.52,0.65
electric-core.csv,0.49,0.23,0.32,0.55,0.35,0.7,0.33,0.2,1.0,0.63,0.38,0.57,0.5,0.63,0.64,0.52,0.24
findbugs.csv,0.71,0.12,0.47,0.3,0.13,0.5,0.07,0.18,0.5,0.88,0.26,1.0,0.37,0.37,0.33,0.97,0.65
img-browse-sort.csv,0.3,0.5,0.45,0.51,0.19,0.59,0.19,0.15,0.5,0.53,0.13,0.64,0.24,0.37,0.31,0.69,0.0
jparsec.csv,0.65,0.94,0.96,0.88,0.97,0.64,0.7,0.93,1.0,0.72,0.92,0.26,0.63,1.0,0.93,0.14,0.29
moast.csv,0.49,0.81,0.32,0.65,0.48,0.7,1.0,1.0,0.5,0.38,0.36,0.45,0.95,0.21,0.56,0.03,0.47
mptvseries.csv,0.12,0.06,0.09,0.21,0.26,0.18,0.07,0.04,0.5,0.07,0.02,0.7,0.08,0.11,0.18,0.0,0.0
mvnforum.csv,0.1,0.34,0.13,0.05,0.29,0.32,0.59,0.53,0.5,0.15,0.23,0.72,0.32,0.32,0.27,0.03,0.29
nosleepsoftware.csv,0.03,0.42,0.15,0.2,0.19,0.11,0.0,0.24,0.5,0.15,0.19,0.0,0.13,0.21,0.13,0.24,0.29
ogre.csv,0.36,0.82,0.79,0.86,0.81,0.61,0.78,0.82,0.0,0.69,0.85,0.33,0.87,0.68,0.58,1.0,0.88
openfrag.csv,0.79,0.31,0.4,0.54,0.19,0.73,0.7,0.11,1.0,0.85,0.23,0.99,0.55,0.47,0.71,0.79,0.18
qdvdauthor.csv,0.49,0.08,0.45,0.03,0.52,0.41,0.26,0.98,1.0,0.75,0.62,0.74,0.26,0.26,0.47,0.03,0.18
sumatrapdf.csv,1.0,0.8,0.85,0.92,0.84,0.89,0.67,0.2,1.0,1.0,0.98,1.0,0.87,0.79,0.98,0.93,0.65
zxing.csv,0.57,0.15,0.47,0.36,0.32,0.57,0.26,0.04,0.5,0.6,0.15,0.81,0.53,0.32,0.58,0.86,0.29
