,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.88,0.8,0.0,0.46,0.36,0.0,0.7,0.93,0.57,0.95
ffigo.csv,0.56,0.69,0.67,0.41,0.33,0.92,0.82,0.92,0.41,0.86
foursquared.csv,0.0,0.99,0.5,0.86,0.5,0.5,0.0,0.75,0.0,0.0
gebr.csv,0.36,0.43,0.44,0.38,0.33,0.33,0.41,0.37,0.36,0.4
ildjit.csv,0.77,1.0,0.71,0.62,0.79,0.44,0.85,0.82,0.68,0.93
jfreereport.csv,0.94,0.78,0.92,0.48,0.83,0.89,0.69,0.75,0.71,0.88
kml.csv,0.45,0.43,0.49,0.38,0.33,0.47,0.43,0.38,0.37,0.44
ng4j.csv,0.48,0.43,0.5,0.46,0.3,0.41,0.48,0.54,0.45,0.68
pcsx2.csv,0.75,0.53,0.44,0.4,0.71,0.48,0.46,0.89,0.68,0.57
wxjs.csv,0.0,0.99,0.0,0.0,0.0,0.75,0.8,0.65,0.0,0.5
