,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.05,0.17,0.02,0.57,0.47,0.0,0.41,0.26,0.49,0.2
ffigo.csv,0.22,0.16,0.06,0.5,0.53,0.5,0.37,0.0,0.83,0.39
foursquared.csv,0.0,0.28,0.04,0.22,0.78,0.11,0.0,0.0,0.0,0.0
gebr.csv,0.38,0.24,0.77,0.49,0.51,0.68,0.79,0.16,0.77,0.41
ildjit.csv,0.65,0.23,0.44,0.33,0.37,0.52,0.37,0.0,0.48,0.17
jfreereport.csv,0.04,0.33,0.23,0.53,0.4,0.4,0.44,0.0,0.42,0.29
kml.csv,0.21,0.24,0.71,0.5,0.51,0.79,0.81,0.16,0.73,0.42
ng4j.csv,0.2,0.26,0.62,0.55,0.59,0.71,0.67,0.09,0.58,0.71
pcsx2.csv,0.07,0.31,0.78,0.54,0.49,0.68,0.78,0.0,0.49,0.53
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.1,0.03,0.47,0.0,0.0
