,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.04,0.41,0.01,0.66,0.59,0.0,0.32,0.43,0.41,0.23
ffigo.csv,0.32,0.42,0.04,0.64,0.64,0.38,0.27,0.0,0.8,0.44
foursquared.csv,0.0,0.27,0.02,0.18,0.86,0.07,0.0,0.0,0.0,0.0
gebr.csv,0.58,0.17,0.69,0.38,0.0,0.72,0.49,0.3,0.44,0.09
ildjit.csv,0.77,0.3,0.35,0.34,0.37,0.54,0.3,0.0,0.41,0.18
jfreereport.csv,0.04,0.48,0.16,0.62,0.29,0.29,0.35,0.0,0.33,0.24
kml.csv,0.37,0.05,0.61,0.43,0.0,0.77,0.69,0.27,0.58,0.4
ng4j.csv,0.33,0.59,0.51,0.62,0.72,0.72,0.6,0.28,0.5,0.81
pcsx2.csv,0.09,0.63,0.71,0.69,0.5,0.64,0.73,0.0,0.39,0.72
wxjs.csv,0.0,0.09,0.0,0.0,0.0,0.07,0.02,0.95,0.0,0.0
