,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.8,0.9,0.82,0.09,0.91,0.46,0.71,0.82,0.58,0.94,0.54,0.91,0.43,0.71,0.78,0.92,0.69,0.9
betoffice.csv,0.93,0.91,0.98,0.65,0.82,0.68,0.87,0.05,0.82,0.7,0.89,1.05,0.61,0.78,0.85,0.46,0.76,0.93
bionote.csv,0.79,0.99,1.0,0.87,0.98,0.96,1.0,1.0,0.86,0.97,1.0,0.93,0.13,0.78,0.93,0.91,0.87,0.91
bnetd.csv,0.73,0.52,0.68,0.53,0.68,0.81,0.84,0.81,0.75,1.02,0.0,0.9,0.79,0.68,0.87,0.57,0.67,0.59
elvishrayrenderer.csv,0.87,0.34,0.44,0.57,0.53,0.62,0.82,0.89,0.56,0.83,0.63,0.79,0.61,0.65,0.81,0.78,0.58,0.03
emisview.csv,0.9,0.95,1.0,0.74,0.87,0.0,0.98,0.94,0.73,0.93,0.82,0.82,0.41,0.62,0.7,0.91,0.77,0.77
findbugs.csv,0.85,0.77,0.94,0.91,1.0,0.83,0.62,0.66,0.62,0.86,0.68,0.88,0.54,0.54,0.04,0.99,0.91,0.73
hazelcast.csv,0.84,0.65,0.48,0.79,0.0,0.93,0.88,0.85,0.94,0.78,0.74,1.0,0.89,0.79,0.97,0.67,0.63,0.89
jitterbit.csv,0.7,0.84,0.98,0.61,0.75,0.58,0.87,0.96,0.03,0.8,0.65,0.91,0.63,0.62,0.61,0.91,0.91,0.55
jppf-project.csv,1.0,1.0,0.87,0.85,1.0,0.89,1.0,0.98,1.01,0.64,0.74,0.0,0.86,0.98,0.91,0.93,0.99,0.84
kolmafia.csv,0.64,0.82,0.75,0.71,0.58,0.61,0.86,0.7,0.7,0.84,0.88,0.57,0.62,0.04,0.7,0.9,0.71,0.6
megasquirtavr.csv,0.67,1.0,0.1,0.83,0.7,0.96,0.87,0.89,0.87,0.88,1.0,1.0,1.0,0.87,1.0,0.92,0.91,1.0
qedo.csv,0.95,0.94,0.8,0.93,0.93,0.96,0.83,0.91,0.99,0.72,0.85,0.92,1.0,0.95,0.93,0.09,1.0,0.99
stajistics.csv,0.75,0.86,0.77,0.68,0.45,0.81,0.79,0.9,0.62,0.67,0.8,0.83,0.73,0.69,0.76,0.96,0.07,0.58
trackit.csv,0.66,0.98,0.72,0.67,0.59,0.82,0.0,0.73,0.82,0.66,0.93,0.9,0.85,0.7,0.74,0.92,0.81,0.61
wxlua.csv,1.0,1.0,0.9,0.96,1.0,0.87,0.96,0.98,0.97,0.12,0.97,0.88,0.97,1.0,0.96,0.99,1.0,1.0
x4x.csv,0.08,0.78,0.75,0.77,0.54,0.65,0.88,0.86,0.98,0.59,0.89,0.89,0.91,0.92,0.81,0.8,0.74,0.8
xharbour.csv,1.0,0.0,0.68,0.76,1.0,0.68,1.0,0.98,0.94,0.57,1.03,0.69,1.0,0.84,0.9,0.91,0.99,0.89
