,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.45,0.1,0.8,0.91,0.42,0.7,0.44,0.6,0.71,0.14,0.51,0.74,0.62,0.64,0.29,0.27,0.67,0.15
betoffice.csv,0.07,0.15,0.05,0.59,0.18,0.35,0.17,0.98,0.25,0.68,0.62,0.26,0.5,0.32,0.36,0.73,0.3,0.29
bionote.csv,0.21,0.01,0.0,0.14,0.02,0.04,0.0,0.0,0.14,0.03,0.0,0.08,0.88,0.23,0.07,0.09,0.13,0.09
bnetd.csv,0.71,0.69,0.4,0.77,0.55,0.83,0.41,0.53,0.65,0.48,1.0,0.77,0.5,0.7,0.57,0.77,0.63,0.79
elvishrayrenderer.csv,0.74,0.67,0.6,0.64,0.47,0.78,0.22,0.16,0.67,0.65,0.38,0.76,0.88,0.89,0.54,0.36,0.47,0.97
emisview.csv,0.12,0.05,0.0,0.27,0.13,1.0,0.02,0.07,0.27,0.08,0.18,0.18,0.62,0.38,0.32,0.09,0.23,0.24
findbugs.csv,0.26,0.23,0.6,0.09,0.56,0.22,0.46,0.56,0.46,0.15,0.36,0.13,0.5,0.49,0.96,0.14,0.17,0.29
hazelcast.csv,0.88,0.86,0.6,0.91,1.0,0.96,0.88,0.87,0.89,0.78,0.82,0.96,0.88,1.0,0.86,0.91,0.9,0.91
jitterbit.csv,0.38,0.71,0.6,0.55,0.31,0.57,0.15,0.04,0.97,0.73,0.36,0.34,0.38,0.66,0.43,0.14,0.1,0.62
jppf-project.csv,0.95,0.97,0.7,0.95,0.95,1.0,1.0,0.98,0.69,0.84,0.72,1.0,0.88,0.89,0.93,0.91,0.97,0.94
kolmafia.csv,0.6,0.2,0.25,0.32,0.42,0.57,0.17,0.4,0.35,0.25,0.13,0.57,0.62,0.96,0.43,0.18,0.3,0.44
megasquirtavr.csv,0.93,0.99,0.9,0.95,0.96,1.0,0.73,0.93,0.86,0.92,1.0,0.92,1.0,0.98,0.93,0.95,1.0,1.0
qedo.csv,0.05,0.14,0.3,0.09,0.07,0.04,0.17,0.09,0.01,0.48,0.23,0.09,0.0,0.11,0.07,0.91,0.0,0.09
stajistics.csv,0.38,0.14,0.5,0.5,0.55,0.65,0.37,0.13,0.54,0.75,0.21,0.64,0.38,0.53,0.36,0.14,0.93,0.71
trackit.csv,0.57,0.49,0.5,0.45,0.42,0.39,1.0,0.38,0.5,0.45,0.85,0.51,0.25,0.55,0.39,0.36,0.33,0.53
wxlua.csv,0.9,1.0,0.9,0.91,0.98,0.83,1.0,1.0,0.95,1.0,1.0,0.9,0.88,0.91,0.93,1.0,1.0,0.97
x4x.csv,1.0,0.76,0.25,0.86,0.8,0.83,0.9,0.73,0.53,0.68,0.92,0.86,0.88,0.98,0.86,0.95,0.83,0.79
xharbour.csv,0.95,1.0,0.9,0.68,0.96,0.83,1.0,0.98,0.94,0.73,0.77,0.71,1.0,0.72,0.86,0.64,1.0,0.91
