,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,96.5,95.5,163.0,98.5,89.5,96.5,98.5,180.0,99.0,97.5,280.0,97.5,1045.5,97.5,187.0,91.5
amygdala.csv,185.0,41.5,608.5,96.5,86.5,96.5,98.5,553.0,25087.5,97.5,444.5,97.5,963.5,89.5,180.0,196.0
awemud.csv,293.5,291.5,600.5,98.5,197.0,95.5,197.5,97.5,99.0,0.0,1125.5,97.5,2002.5,97.5,179.0,187.0
bullet.csv,488.5,291.5,695.0,83.5,194.0,195.5,98.5,97.5,99.0,467.5,1293.5,97.5,1917.0,1102.5,98.5,196.0
customwars.csv,96.5,193.0,691.0,98.5,194.0,96.5,98.5,165.0,99.0,0.0,744.0,97.5,91.5,196.0,98.5,91.5
dvd-create.csv,574.0,291.5,192.0,98.5,98.5,98.5,197.5,97.5,99.0,0.0,1297.5,97.5,2710.5,196.0,187.0,196.0
gbif-indexingtoolkit.csv,194.0,392.0,94.5,98.5,98.5,454.0,283.5,178.0,99.0,0.0,1287.0,434.5,1745.0,96.5,96.5,196.0
go.csv,390.0,95.5,192.0,98.5,96.5,96.5,98.5,97.5,99.0,73.5,1486.5,97.5,1936.0,196.0,97.5,187.0
gss.csv,391.0,291.5,192.0,98.5,195.0,98.5,98.5,97.5,99.0,0.0,1304.5,97.5,1545.0,196.0,98.5,187.0
kwave.csv,292.5,489.5,173.0,98.5,197.0,96.5,98.5,97.5,99.0,0.0,1482.5,97.5,2608.0,196.0,98.5,187.0
lsb.csv,193.0,489.5,94.5,98.5,197.0,184.0,849.5,97.5,27080.5,185.5,1032.0,97.5,192.5,88.5,273.5,196.0
mpgravity.csv,390.0,194.0,287.5,98.5,197.0,197.5,197.5,97.5,0.0,178.0,1580.0,97.5,0.0,196.0,98.5,196.0
qcad2.csv,96.5,194.5,314.0,98.5,89.5,98.5,98.5,87.5,99.0,97.5,1291.5,95.5,1246.5,96.5,98.5,97.5
qtwin.csv,121.0,0.0,54.5,0.0,0.0,79.5,137.0,96.5,99.0,157.0,1159.5,184.0,764.0,196.0,92.5,91.5
roller.csv,96.5,489.5,287.5,98.5,197.0,197.5,197.5,97.5,99.0,97.5,1276.5,97.5,2511.0,97.5,97.5,97.5
xinity.csv,487.5,489.5,175.0,98.5,197.0,197.5,195.5,97.5,99.0,97.5,1008.5,95.5,3446.5,97.5,98.5,196.0
