,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.27,0.35,0.34,0.17,0.42,0.1,0.86,0.46,0.11,0.14,0.67,0.87,0.04,0.45
calcubetimer.csv,0.7,0.25,0.47,0.44,0.44,0.13,0.91,0.37,0.29,0.0,0.37,0.43,0.67,0.75
chaosrts.csv,0.27,0.32,0.34,0.15,0.39,0.08,0.64,0.17,0.43,0.09,0.35,0.88,0.04,0.37
chaperon.csv,0.38,0.21,0.55,0.26,0.41,0.62,0.47,0.03,0.48,0.22,0.21,0.25,0.33,0.6
dxengine.csv,0.55,0.22,0.66,0.38,0.0,0.14,0.46,0.64,0.45,0.05,0.69,0.51,0.77,0.58
emono.csv,0.37,0.28,0.5,0.2,0.29,0.18,0.89,0.62,0.51,0.11,0.66,0.88,0.67,0.73
factor.csv,0.0,0.29,0.25,0.14,0.26,0.0,0.86,0.0,0.24,0.0,0.38,0.01,0.93,0.16
jas.csv,0.17,0.19,0.58,0.43,0.54,0.15,0.33,0.26,0.45,0.44,0.42,0.32,0.76,0.43
jmoney.csv,0.76,0.29,0.59,0.39,0.41,0.22,0.78,0.31,0.35,0.19,0.36,0.78,0.37,0.64
jmonkeyengine.csv,0.16,0.28,0.54,0.39,0.56,0.12,0.63,0.33,0.41,0.07,0.74,0.71,0.83,0.71
matrex.csv,0.67,0.34,0.14,0.51,0.08,0.4,0.4,0.81,0.3,0.3,0.0,0.66,0.26,0.02
primefaces.csv,0.54,0.29,0.52,0.46,0.41,0.19,0.74,0.75,0.46,0.12,0.83,0.9,0.7,0.79
roolo.csv,0.46,0.4,0.48,0.14,0.37,0.16,0.73,0.6,0.73,0.13,0.68,0.93,0.07,0.73
sblim.csv,0.58,0.31,0.52,0.63,0.31,0.17,0.25,0.69,0.34,0.0,0.61,0.45,0.78,0.73
