,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.59,0.4,0.45,0.0,0.75,0.63,0.41,0.55,0.98,0.0,0.65,0.73,0.75,0.23
cubefs.csv,0.79,0.62,0.53,0.64,0.6,0.36,0.42,0.99,0.13,0.6,0.73,0.5,0.44,0.33
gisgraphy.csv,0.6,0.38,0.47,0.12,0.0,0.34,0.25,0.57,0.21,0.21,0.54,0.36,0.33,0.96
iaml.csv,0.37,0.55,0.47,0.54,0.43,0.56,0.97,0.33,0.59,0.49,0.61,0.6,0.59,0.72
ivatamasks.csv,0.6,0.47,0.57,0.99,0.53,0.5,0.22,0.44,0.48,0.53,0.46,0.49,0.49,0.29
kolmafia.csv,0.56,0.6,0.66,0.61,0.48,0.59,0.35,0.25,0.17,0.48,0.97,0.58,0.6,0.48
ogrehg.csv,0.23,0.53,0.42,0.51,0.37,0.94,0.48,0.45,0.32,0.58,0.53,0.5,0.0,0.36
olex2.csv,0.66,0.57,0.51,0.49,0.53,0.46,0.37,0.43,0.26,0.53,0.53,0.97,0.38,0.29
openwbem.csv,0.66,0.92,0.63,0.23,0.5,0.49,0.39,0.13,0.36,0.45,0.61,0.52,0.53,0.68
oppna-program-hsatools.csv,0.33,0.27,0.8,0.0,0.98,0.52,0.51,0.53,0.23,0.64,0.65,0.62,0.62,0.09
orc.csv,0.12,0.01,0.9,0.12,0.43,0.02,0.33,0.35,0.0,0.23,0.13,0.0,0.11,0.65
ta3d.csv,0.66,0.58,0.45,0.36,0.46,0.53,0.58,0.55,0.68,0.58,0.53,0.55,0.95,0.58
umber.csv,1.0,0.42,0.47,0.62,0.47,0.57,0.3,0.3,0.48,0.53,0.63,0.57,0.38,0.21
xcmetadataservicestoolkit.csv,0.62,0.42,0.49,0.66,0.29,0.22,0.48,0.33,0.53,1.0,0.54,0.2,0.24,0.26
