,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.31,0.37,0.12,0.67,0.89,0.44,0.56,0.71,0.98,0.72,0.61,0.57,0.78,0.26
cubefs.csv,0.44,0.42,0.15,0.73,0.94,0.36,0.5,0.97,0.54,0.8,0.66,0.49,0.74,0.18
gisgraphy.csv,0.3,0.41,0.12,0.77,0.73,0.48,0.59,0.7,0.48,0.47,0.69,0.45,0.77,1.0
iaml.csv,0.17,0.38,0.09,0.75,0.76,0.44,0.99,0.65,0.8,0.69,0.59,0.51,0.75,0.41
ivatamasks.csv,0.39,0.43,0.15,1.0,0.83,0.42,0.43,0.74,0.76,0.8,0.57,0.51,0.67,0.18
kolmafia.csv,0.38,0.48,0.16,0.83,0.96,0.48,0.48,0.84,0.61,0.7,1.0,0.55,0.73,0.28
ogrehg.csv,0.11,0.49,0.15,0.79,0.79,0.95,0.53,0.69,0.81,0.74,0.53,0.44,0.61,0.29
olex2.csv,0.37,0.44,0.12,0.83,1.0,0.41,0.55,0.77,0.73,0.78,0.7,0.98,0.71,0.17
openwbem.csv,0.31,0.99,0.13,0.63,0.8,0.38,0.53,0.68,0.7,0.69,0.59,0.44,0.68,0.38
oppna-program-hsatools.csv,0.26,0.35,0.18,0.68,1.0,0.4,0.54,0.69,0.88,0.78,0.62,0.59,0.72,0.23
orc.csv,0.05,0.67,1.0,0.71,0.76,0.33,0.56,0.73,0.0,0.53,0.5,0.0,1.0,0.37
ta3d.csv,0.31,0.41,0.1,0.66,0.79,0.39,0.6,0.7,0.83,0.74,0.54,0.48,1.0,0.33
umber.csv,0.95,0.36,0.08,0.73,0.92,0.42,0.5,0.77,0.74,0.83,0.69,0.5,0.67,0.36
xcmetadataservicestoolkit.csv,0.29,0.53,0.09,0.8,0.87,0.42,0.56,0.64,0.76,1.0,0.6,0.45,1.0,0.17
