,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.34,0.48,0.32,0.43,0.4,0.41,0.4,0.52,0.55,0.33,0.35,0.36,0.37,0.3
cubefs.csv,0.44,0.5,0.6,0.46,0.52,0.76,0.5,0.48,0.92,0.43,0.33,0.53,0.63,0.42
gisgraphy.csv,0.5,0.74,0.64,0.92,0.52,0.9,0.98,0.42,0.73,0.73,0.54,0.83,0.85,0.76
iaml.csv,0.45,0.51,0.36,0.57,0.56,0.47,0.58,0.71,0.64,0.47,0.41,0.47,0.39,0.41
ivatamasks.csv,0.61,0.73,0.61,0.44,0.54,0.63,0.68,0.79,0.78,0.56,0.66,0.6,0.59,0.47
kolmafia.csv,0.5,0.42,0.43,0.43,0.44,0.43,0.44,0.95,0.64,0.44,0.42,0.42,0.33,0.33
ogrehg.csv,0.59,0.57,0.68,0.64,0.47,0.64,0.46,0.58,0.67,0.4,0.46,0.47,0.49,0.62
olex2.csv,0.49,0.51,0.5,0.58,0.58,0.51,0.55,0.56,0.62,0.48,0.55,0.51,0.41,0.49
openwbem.csv,0.45,0.64,0.49,0.5,0.54,0.56,0.65,0.45,0.66,0.62,0.48,0.5,0.53,0.43
oppna-program-hsatools.csv,0.34,0.49,0.41,0.43,0.42,0.43,0.38,0.47,0.69,0.32,0.34,0.4,0.38,0.33
orc.csv,0.51,0.67,0.93,0.93,0.73,0.89,0.82,0.64,0.0,0.8,0.38,0.0,0.67,0.39
ta3d.csv,0.42,0.57,0.33,0.46,0.48,0.53,0.57,0.48,0.55,0.43,0.52,0.41,0.45,0.35
umber.csv,0.6,0.75,0.33,0.42,0.49,0.53,0.49,0.96,0.55,0.54,0.43,0.36,0.4,0.91
xcmetadataservicestoolkit.csv,0.37,0.72,0.38,0.44,0.65,0.87,0.42,0.64,0.52,0.4,0.43,0.95,0.86,0.5
