,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.64,0.96,0.42,0.61,1.0,0.61
exl.csv,0.79,0.75,0.83,0.41,0.73,0.28
opennms.csv,0.41,0.89,0.81,0.92,0.92,1.0
phet.csv,0.62,0.46,0.91,1.1,1.03,0.98
runuomondains.csv,0.74,0.83,0.76,0.5,0.29,0.54
