,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.29,0.28,1.0,0.0,0.33,0.33,0.27,0.46,0.1,0.0,0.17,0.08,0.42,0.33,0.81,0.36,0.0,0.81,0.59,0.04
baadengine.csv,0.92,0.06,0.96,0.01,0.21,0.31,0.27,0.52,0.12,0.06,0.28,0.12,0.41,0.31,0.81,0.39,0.03,0.82,0.84,0.04
biopax.csv,0.75,0.07,0.98,0.01,0.29,0.32,0.25,0.43,0.11,0.05,0.13,0.12,0.44,0.13,0.87,0.48,0.02,0.97,0.79,0.03
crux-framework.csv,0.94,0.0,0.94,0.03,0.42,0.0,0.34,0.5,0.08,0.08,0.38,0.16,0.48,0.0,0.83,0.34,0.0,0.5,0.83,0.17
dataobjectsdotnet.csv,0.7,0.06,0.97,0.02,0.42,0.4,0.29,0.41,0.14,0.08,0.14,0.13,0.56,0.29,1.0,0.44,0.04,0.87,0.76,0.04
exl.csv,0.83,0.07,0.98,0.01,0.32,0.5,0.26,0.42,0.16,0.09,0.11,0.1,0.45,0.06,0.77,0.4,0.06,0.77,0.97,0.03
gdis.csv,0.87,0.05,0.97,0.0,0.38,0.36,0.24,0.48,0.12,0.06,0.23,0.1,0.48,0.17,1.0,0.44,0.0,0.88,0.85,0.03
gogoego.csv,0.87,0.02,0.97,0.02,0.23,0.44,0.36,0.46,0.15,0.07,0.15,0.09,0.49,0.16,0.9,0.75,0.03,0.83,0.96,0.01
httpcontentparser.csv,0.67,0.03,0.97,0.0,0.12,1.0,0.28,0.46,0.3,0.07,0.14,0.13,0.43,0.5,0.0,0.48,0.04,0.88,0.95,0.04
impala.csv,0.46,0.09,0.98,0.02,0.32,0.29,0.21,0.5,0.12,0.06,0.29,0.24,0.42,0.0,0.88,0.47,0.0,0.71,0.85,0.07
jgameai.csv,0.49,0.21,1.0,0.0,0.44,0.0,0.31,0.43,0.03,0.0,0.0,0.0,0.43,0.0,0.62,0.0,0.0,0.67,0.0,0.0
loki-lib.csv,0.95,0.07,0.98,0.01,0.3,0.32,0.28,0.43,0.17,0.06,0.24,0.14,0.41,0.16,0.86,0.64,0.03,0.76,0.92,0.02
snakeyaml.csv,0.69,0.0,0.96,0.03,0.25,0.51,0.33,0.67,0.18,0.08,0.37,0.1,0.48,0.14,0.94,0.33,0.02,1.0,0.96,0.02
tart.csv,0.72,0.04,0.95,0.04,0.43,0.29,0.27,0.5,0.24,0.17,0.2,0.1,0.46,0.22,0.71,0.0,0.04,0.86,0.91,0.03
vars-redux.csv,0.73,0.05,0.94,0.02,0.28,0.34,0.29,0.62,0.14,0.06,0.15,0.12,0.47,0.25,0.92,0.57,0.03,1.0,0.93,0.03
werx.csv,0.75,0.08,1.0,0.01,0.29,0.31,0.23,0.4,0.11,0.05,0.13,0.12,0.43,0.13,0.81,0.39,0.02,0.75,0.68,0.03
xbg.csv,0.82,0.04,1.0,0.0,0.0,0.13,0.23,0.67,0.07,0.0,0.09,0.12,0.42,0.32,0.62,0.28,0.0,0.64,0.62,0.0
xqilla.csv,1.0,0.0,0.98,0.06,0.23,0.0,0.25,0.35,0.36,0.1,0.15,0.14,0.46,0.06,0.71,0.25,0.3,0.5,1.0,0.02
zealos.csv,0.95,0.2,1.0,0.0,0.55,0.53,0.38,0.36,0.0,0.0,0.0,0.0,0.6,0.0,0.88,0.33,0.0,0.67,1.0,0.06
