,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.72,0.35,0.79,0.57
miranda-icq.csv,0.42,0.24,0.6,0.45
red5.csv,0.7,0.18,0.71,0.74
thrust.csv,0.49,0.65,0.21,0.47
