,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.34,0.32,0.0,0.08,0.17,0.14,0.24,0.07,0.27,0.3,0.0,0.21,0.2,0.51
dvt.csv,0.53,0.42,0.93,0.05,0.4,0.27,0.57,0.0,0.41,0.51,0.2,0.42,0.24,0.48
flylinkdc.csv,0.23,0.78,0.98,0.82,0.6,0.91,0.27,0.9,0.68,0.38,0.4,1.0,1.0,0.8
fulguro.csv,0.76,0.55,0.63,0.49,0.53,0.67,0.3,0.79,0.51,0.38,0.8,0.16,0.76,0.25
gnome-jabber.csv,0.69,0.7,0.28,0.23,0.53,0.52,0.43,0.52,0.49,0.65,0.2,0.26,0.76,0.63
ipfire-wall.csv,0.32,0.45,0.29,0.54,0.42,0.19,0.08,0.93,0.29,0.22,0.0,0.26,0.28,0.32
jruby.csv,1.0,0.75,1.0,1.0,0.1,0.26,0.03,0.45,0.02,0.03,1.0,0.63,0.88,0.0
ldview.csv,0.91,0.6,0.25,0.62,0.85,0.4,0.27,0.55,0.14,0.84,0.0,0.21,0.88,0.59
maidsafe-dht.csv,0.23,0.28,0.39,0.85,0.27,0.3,0.11,0.9,0.71,0.46,0.4,0.74,0.32,0.04
nuttx.csv,0.2,0.2,0.01,0.46,0.18,0.17,0.43,0.24,0.07,0.41,0.0,0.37,0.16,0.18
oorexx.csv,0.69,0.12,0.0,0.0,0.43,0.06,0.57,0.0,0.0,0.7,0.0,0.05,0.28,0.38
red5.csv,0.76,0.9,0.5,0.51,0.7,0.7,0.89,0.31,0.86,0.84,1.0,0.58,0.6,1.0
vdsf.csv,0.77,0.72,0.13,0.95,0.85,0.79,0.54,1.0,0.81,0.86,0.8,0.95,0.92,0.7
xbrlapi.csv,0.13,0.38,0.0,0.1,0.33,0.48,0.05,0.83,0.22,0.19,0.0,0.05,0.4,0.22
