,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.23,0.57,0.0,0.85,0.09,0.42,0.36,0.67,0.52,0.15,1.0,0.84,0.38,0.13
dvt.csv,0.35,0.39,0.09,0.67,0.14,0.51,0.25,1.0,0.31,0.37,0.98,0.86,0.4,0.07
flylinkdc.csv,0.54,0.53,0.08,0.82,0.27,0.29,0.41,0.57,0.22,0.48,0.94,0.87,0.58,0.14
fulguro.csv,0.24,0.58,0.08,0.77,0.2,0.24,0.5,0.56,0.25,0.3,0.95,0.86,0.58,0.2
gnome-jabber.csv,0.29,0.53,0.1,0.83,0.2,0.39,0.41,0.61,0.17,0.38,0.98,0.9,0.6,0.11
ipfire-wall.csv,0.36,0.54,0.11,0.74,0.31,0.37,0.25,0.57,0.11,0.64,1.0,0.93,0.56,0.22
jruby.csv,0.27,0.48,0.09,0.83,0.33,0.28,0.0,0.65,0.0,0.0,0.95,0.88,0.59,0.0
ldview.csv,0.27,0.45,0.16,0.75,0.22,0.31,0.62,0.57,0.0,0.37,1.0,0.88,0.6,0.16
maidsafe-dht.csv,0.34,0.48,0.14,0.79,0.43,0.33,0.6,0.59,0.12,0.47,0.97,0.85,0.69,0.0
nuttx.csv,0.47,0.5,0.18,0.88,0.31,0.11,0.36,0.53,0.6,0.29,1.0,0.84,0.78,0.07
oorexx.csv,0.29,0.5,0.0,0.0,0.28,0.14,0.43,0.0,0.0,0.24,0.0,0.86,0.78,0.14
red5.csv,0.32,0.5,0.07,0.87,0.21,0.33,0.37,0.76,0.29,0.34,0.95,0.86,0.64,0.12
vdsf.csv,0.27,0.56,0.22,0.77,0.18,0.29,0.43,0.56,0.23,0.36,0.96,0.86,0.58,0.14
xbrlapi.csv,0.24,0.67,1.0,0.64,0.2,0.2,0.33,0.58,0.24,0.53,0.0,0.86,0.58,0.26
