,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.4,0.59,0.6,0.39,0.49,0.54,0.12,0.65,0.57,0.35
fritzing.csv,0.66,0.73,0.75,0.6,0.76,0.69,0.24,0.34,0.66,0.49
jlinalg.csv,0.81,0.34,0.38,0.62,0.64,0.69,0.4,0.42,0.55,0.6
knowledge.csv,0.79,0.68,0.64,0.41,0.87,0.62,0.24,0.52,0.61,0.57
massiv.csv,0.17,0.35,0.4,0.0,0.0,0.99,0.0,0.62,0.0,0.0
multitude.csv,0.42,0.67,0.62,0.5,0.76,0.6,0.55,0.7,0.52,0.71
playerstage.csv,0.53,0.71,0.73,0.74,0.74,0.53,0.12,0.7,0.49,0.47
quarkplusplus.csv,0.72,0.67,0.55,0.52,0.7,0.91,0.12,0.46,0.64,0.57
rtrt-on-gpu.csv,0.24,0.41,0.25,0.36,0.28,0.0,0.72,0.0,0.1,0.31
superwaba.csv,0.43,0.75,0.66,0.57,0.64,0.52,0.12,0.68,0.51,0.5
