,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.05,0.35,0.19,0.15,0.34,0.19,0.4,0.48,0.16,0.56,0.36,0.7,0.2,0.54,0.3,0.4,0.41
enzo.csv,0.23,0.6,0.78,0.98,0.93,0.53,0.81,0.61,0.24,0.88,0.97,0.31,1.0,0.93,0.8,0.82,0.66
hydrogen.csv,1.0,1.0,1.0,0.0,1.0,0.16,0.82,1.0,1.0,0.12,1.0,1.0,0.0,1.0,1.0,1.0,0.42
keyczar.csv,0.39,0.18,0.57,0.51,0.53,0.03,0.31,0.36,0.6,0.05,0.15,0.1,0.2,0.34,0.11,0.41,0.44
lphant.csv,0.09,0.67,0.76,0.04,0.42,0.56,0.41,0.76,0.16,0.33,0.24,0.12,0.2,0.54,0.48,0.46,0.33
lsb.csv,0.26,0.58,0.47,0.15,0.54,0.55,0.29,0.34,0.28,0.21,0.24,0.34,0.13,0.15,0.63,0.44,0.5
maya-work-in-progress.csv,0.64,0.51,0.65,0.17,0.58,0.55,0.68,0.75,0.84,0.63,0.48,0.27,0.2,0.62,0.52,0.74,0.53
mcore3d.csv,0.11,0.39,0.24,0.36,0.04,0.12,0.09,0.11,0.0,0.6,0.3,0.31,0.47,0.25,0.37,0.5,0.17
mscore.csv,0.79,0.82,0.6,0.43,0.27,0.79,0.69,0.79,0.36,0.58,0.73,0.64,0.13,0.74,0.48,0.56,0.5
natpad.csv,0.85,0.46,0.53,0.09,0.15,0.36,0.46,0.76,0.88,0.6,0.12,0.62,0.2,0.39,0.24,0.51,0.42
rocrail.csv,0.0,0.21,0.04,0.36,0.27,0.15,0.06,0.41,0.08,0.26,0.52,0.69,0.2,0.69,0.17,0.24,0.48
salasaga.csv,0.91,0.6,0.79,0.15,0.13,0.38,0.58,0.8,0.68,0.58,0.15,0.33,0.13,0.51,0.15,0.5,0.28
virtuoso.csv,0.0,0.95,0.94,1.0,0.75,0.78,0.91,0.16,1.0,0.33,0.94,0.0,0.13,0.92,0.87,0.92,0.0
xemeiah.csv,0.5,0.46,0.15,0.02,0.25,0.34,0.28,0.74,0.76,0.7,0.21,0.41,0.27,0.39,0.28,0.46,0.48
xined.csv,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.07,0.0,0.0,0.0,0.0
xtreemfs.csv,0.88,0.58,0.47,0.04,0.26,0.54,0.6,0.65,0.16,0.72,0.76,0.45,0.13,0.21,0.61,0.48,0.33
yield.csv,0.16,0.77,0.16,0.47,0.32,0.56,0.62,0.67,0.52,0.86,0.64,0.66,0.2,0.93,0.57,0.62,0.45
