,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.5,0.4,0.41,0.44,0.37,0.47,0.38,0.34,0.48,0.33,0.36,0.47,0.38,0.32,0.39,0.31,0.32
enzo.csv,0.83,0.44,0.44,0.46,0.42,0.54,0.37,0.34,0.35,0.41,0.36,0.46,0.43,0.41,0.38,0.45,0.39
hydrogen.csv,0.55,0.41,0.44,0.0,0.4,0.54,0.47,0.39,0.43,0.83,0.35,0.53,0.0,0.3,0.38,0.42,0.4
keyczar.csv,0.67,0.95,0.84,0.68,0.85,0.67,0.97,0.68,0.97,0.5,0.89,0.94,0.42,0.97,0.91,0.81,0.78
lphant.csv,0.76,0.43,0.41,0.56,0.41,0.52,0.49,0.34,0.37,0.39,0.42,0.59,0.41,0.47,0.33,0.33,0.32
lsb.csv,0.72,0.76,0.6,0.93,0.45,0.79,0.88,0.62,0.38,0.77,0.73,0.98,0.52,0.98,0.41,0.46,0.69
maya-work-in-progress.csv,0.52,0.36,0.39,0.43,0.36,0.48,0.45,0.32,0.45,0.33,0.35,0.4,0.36,0.32,0.35,0.38,0.35
mcore3d.csv,0.94,0.41,0.53,0.48,0.95,0.71,0.86,0.95,0.89,0.39,0.52,0.46,0.55,0.71,0.53,0.44,0.47
mscore.csv,0.65,0.39,0.4,0.46,0.41,0.49,0.43,0.34,0.34,0.35,0.33,0.47,0.6,0.35,0.37,0.42,0.37
natpad.csv,0.57,0.48,0.56,0.85,0.58,0.6,0.5,0.34,0.56,0.38,0.8,0.43,0.48,0.43,0.69,0.47,0.37
rocrail.csv,0.67,0.56,0.81,0.56,0.46,0.5,0.94,0.36,0.59,0.5,0.36,0.48,0.83,0.32,0.68,0.39,0.35
salasaga.csv,0.56,0.4,0.42,0.8,0.67,0.56,0.49,0.35,0.88,0.32,0.65,0.38,0.44,0.35,0.77,0.36,0.41
virtuoso.csv,0.0,0.42,0.46,0.46,0.42,0.53,0.45,0.62,0.43,0.5,0.37,0.0,0.83,0.31,0.43,0.43,0.0
xemeiah.csv,0.57,0.41,0.56,0.8,0.47,0.63,0.51,0.33,0.47,0.33,0.5,0.38,0.37,0.42,0.49,0.35,0.38
xined.csv,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0
xtreemfs.csv,0.65,0.45,0.45,0.8,0.48,0.5,0.48,0.4,0.81,0.35,0.35,0.51,0.8,0.39,0.37,0.44,0.43
yield.csv,0.74,0.38,0.46,0.41,0.37,0.49,0.42,0.33,0.36,0.36,0.34,0.44,0.38,0.31,0.35,0.34,0.35
