,nullc.csv,superwaba.csv,sylpheed-claws.csv,flexpay.csv,bacnet.csv,pgui.csv,lufa-lib.csv,xqilla.csv,bibletime.csv
bacnet.csv,0.45,0.56,0.44,0.57,0.66,0.51,0.73,0.47,0.54
bibletime.csv,0.47,0.49,0.88,0.48,0.0,0.48,0.0,0.37,0.4
flexpay.csv,0.77,0.64,0.75,0.99,0.55,0.67,0.86,0.73,0.7
lufa-lib.csv,0.66,0.97,0.67,0.64,0.81,0.67,0.76,0.81,0.75
nullc.csv,0.46,0.45,0.45,0.37,0.39,0.42,0.52,0.4,0.37
pgui.csv,0.8,0.74,0.98,0.99,0.97,0.73,0.96,0.91,0.91
superwaba.csv,0.53,0.56,0.48,0.46,0.69,0.59,0.63,0.39,0.4
sylpheed-claws.csv,0.5,0.58,0.5,0.59,0.42,0.41,0.97,0.49,0.67
xqilla.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.67,0.0
