,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.88,0.69,0.84,0.94,0.95,0.81,0.77,0.9,0.87,0.85,1.0,0.55
dsworkbench.csv,0.82,0.08,0.04,0.0,0.15,0.06,0.38,0.2,0.36,0.07,0.03,0.72
gogoego.csv,0.54,0.57,0.63,0.41,0.25,0.69,1.0,0.4,0.89,0.61,0.31,0.68
jpaul.csv,0.62,0.64,0.19,0.76,0.3,0.12,0.08,0.0,0.13,0.07,0.0,0.0
loki-lib.csv,0.76,0.8,0.17,0.76,0.35,0.56,0.85,0.4,0.6,0.39,0.72,0.76
motu.csv,0.48,0.96,0.92,0.76,0.8,0.44,0.85,0.5,0.83,0.67,0.55,0.17
mp-rechnungs-und-kundenverwaltung.csv,0.14,0.41,0.14,1.0,0.05,0.25,0.31,0.2,0.68,0.3,0.24,0.2
rtrt-on-gpu.csv,0.54,0.66,0.66,0.47,0.5,0.5,0.62,0.6,0.77,0.33,0.45,0.81
scenemonitor.csv,0.7,0.52,0.11,0.59,0.75,0.5,1.0,0.5,0.47,0.52,0.0,0.19
xstore.csv,0.5,0.98,0.5,0.71,0.6,0.62,1.0,0.4,0.74,0.65,0.62,0.93
yarp0.csv,0.56,0.67,0.83,0.24,0.4,0.75,0.38,0.8,0.87,0.57,0.86,0.53
zemljanka.csv,0.96,0.9,0.96,1.0,1.0,0.94,0.92,1.0,0.98,0.96,0.48,0.82
