,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.37,0.39,0.38,0.38,0.32,0.35,0.53,0.4,0.33,0.43,0.36,0.44,0.4,0.32,0.35
cornerstone.csv,0.5,0.83,0.38,0.9,0.33,0.42,0.68,0.77,0.44,0.53,0.73,0.81,0.33,0.32,0.67
esmf.csv,0.44,0.63,0.93,0.43,0.39,0.39,0.56,0.92,0.47,0.4,0.43,0.53,0.83,0.44,0.44
frogatto.csv,0.37,0.38,0.29,0.36,0.34,0.32,0.57,0.4,0.34,0.46,0.35,0.42,0.4,0.37,0.37
gretl.csv,0.55,0.47,0.38,0.46,0.45,0.44,0.42,0.44,0.43,0.46,0.46,0.43,0.42,0.32,0.5
kindb.csv,0.37,0.55,0.29,0.35,0.51,0.38,0.46,0.35,0.57,0.0,0.38,0.58,0.36,0.29,0.44
libtorrent.csv,0.41,0.43,0.37,0.43,0.38,0.33,0.42,0.44,0.39,0.5,0.35,0.55,0.37,0.4,0.4
mia.csv,0.53,0.94,0.8,0.59,0.6,0.4,0.83,0.76,0.53,0.88,0.49,0.8,0.0,0.35,0.9
open-beos.csv,0.46,0.43,0.47,0.47,0.37,0.55,0.53,0.55,0.35,0.64,0.42,0.47,0.39,0.41,0.67
pidgin.csv,0.51,0.65,0.63,0.47,0.34,0.36,0.64,0.96,0.42,0.86,0.52,0.48,0.52,0.5,0.47
quantlib.csv,0.5,0.42,0.37,0.4,0.37,0.61,0.96,0.94,0.44,0.0,0.39,0.99,0.0,0.44,0.62
riff-evolve.csv,0.59,0.53,0.42,0.58,0.39,0.44,0.58,0.36,0.51,0.75,0.46,0.54,0.41,0.56,0.9
tokratan.csv,0.52,0.39,0.92,0.43,0.37,0.47,0.68,0.41,0.39,0.52,0.42,0.49,0.89,0.39,0.9
upp-mirror.csv,0.9,0.62,0.42,0.83,0.46,0.95,0.75,0.77,0.69,0.75,0.63,0.71,0.5,0.64,0.95
wxcrp.csv,0.52,0.45,0.69,0.41,0.38,0.45,0.49,0.43,0.56,0.38,0.52,0.45,0.62,0.48,0.43
