,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.08,0.76,0.11,0.05,0.05,0.14,0.4,0.56,0.48,0.58,0.36,0.11,0.86,0.58
continuum-ide.csv,0.5,0.29,0.23,0.0,0.4,0.24,0.64,0.63,0.0,0.08,0.22,0.02,0.41,0.18
free-evolution.csv,0.11,0.63,0.17,0.19,0.05,0.3,0.79,0.45,0.57,0.56,0.46,0.12,0.72,0.74
gtad.csv,0.27,0.25,0.23,0.08,0.09,0.33,0.54,0.33,0.29,0.35,0.29,0.0,0.42,0.26
jaxen.csv,0.06,0.83,0.13,0.38,0.0,0.56,0.7,0.39,0.49,0.38,0.36,0.15,0.9,0.66
jruby.csv,0.18,0.49,0.08,0.15,0.0,0.11,0.71,0.46,0.29,0.43,0.25,0.17,0.76,0.72
jsr308-langtools.csv,0.1,0.78,0.16,0.23,0.0,0.15,0.93,0.47,0.46,0.57,0.35,0.08,0.68,0.63
kaffeine.csv,0.06,0.9,0.19,0.0,0.06,0.17,0.77,0.53,0.45,0.38,0.38,0.06,0.52,0.65
oorexx.csv,0.0,0.6,0.19,0.33,0.0,0.0,0.68,0.0,0.57,0.08,0.39,0.15,0.2,0.74
qedo.csv,0.0,0.56,0.05,0.0,0.0,0.0,0.28,0.5,0.35,0.23,0.3,0.38,0.09,0.5
sarasvati.csv,0.1,0.25,0.24,0.05,0.1,0.11,0.75,0.46,0.45,0.48,0.38,0.08,0.52,0.22
taokgame.csv,0.09,0.12,0.05,0.69,0.0,0.0,0.29,0.23,0.48,0.22,0.29,0.0,0.1,0.39
zabbix.csv,0.08,0.66,0.21,0.12,0.0,0.14,0.74,0.24,0.5,0.27,0.37,0.05,0.63,0.44
