,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.7,0.66,0.21,0.21,0.78,0.66,0.31,0.69,0.55,0.66,0.5,0.38,0.58,0.54
continuum-ide.csv,0.55,0.21,0.31,0.0,0.99,0.45,0.6,0.75,0.0,0.06,0.21,0.06,0.31,0.13
free-evolution.csv,0.84,0.52,0.68,0.55,0.69,0.8,0.67,0.34,0.5,0.73,0.64,0.39,0.54,0.0
gtad.csv,0.97,0.17,0.49,0.12,0.91,0.45,0.42,0.39,0.2,0.31,0.28,0.0,0.32,0.2
jaxen.csv,0.47,0.0,0.59,0.84,0.0,0.98,0.56,0.45,0.43,0.41,0.57,0.57,0.47,0.53
jruby.csv,0.55,0.39,0.38,0.47,0.0,0.55,0.2,0.21,0.33,0.09,0.25,0.48,0.64,0.17
jsr308-langtools.csv,0.84,0.68,0.66,0.63,0.0,0.69,0.92,0.62,0.51,0.76,0.54,0.17,0.51,0.57
kaffeine.csv,0.24,0.85,0.69,0.0,0.81,0.72,0.36,0.6,0.33,0.4,0.6,0.26,0.39,0.58
oorexx.csv,0.0,0.49,0.74,0.63,0.0,0.0,0.58,0.0,0.53,0.06,0.58,0.27,0.13,0.71
qedo.csv,0.0,0.25,0.11,0.0,0.0,0.0,0.23,0.6,0.33,0.17,0.49,0.81,0.06,0.45
sarasvati.csv,0.82,0.17,0.72,0.12,0.92,0.53,0.71,0.61,0.4,0.6,0.41,0.3,0.4,0.17
taokgame.csv,0.53,0.07,0.11,0.98,0.0,0.0,0.23,0.21,0.49,0.21,0.22,0.0,0.07,0.29
zabbix.csv,0.75,0.55,0.49,0.33,0.0,0.44,0.7,0.21,0.45,0.27,0.53,0.16,0.5,0.39
