,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,32.0,0.0,24.0,34.0,36.0,41.0,0.0,1.0,12.0,3.0,1.0,2.0,0.0,0.0
continuum-ide.csv,1.0,1.0,10.0,91.0,3.0,4.0,6.0,1.0,161.0,1.0,0.0,49.0,0.0,0.0
free-evolution.csv,23.0,0.0,16.0,4.0,42.0,6.0,6.0,6.0,0.0,4.0,5.0,1.0,0.0,1.0
gtad.csv,4.0,0.0,1.0,0.0,21.0,1.0,0.0,1.0,0.0,4.0,1.0,260.0,0.0,1.0
jaxen.csv,50.0,0.0,26.0,2.0,61.0,4.0,9.0,13.0,0.0,7.0,13.0,72.0,0.0,1.0
jruby.csv,6.0,1.0,17.0,11.0,61.0,54.0,12.0,10.0,7.0,7.0,2.0,0.0,0.0,1.0
jsr308-langtools.csv,20.0,0.0,5.0,5.0,61.0,38.0,0.0,5.0,2.0,0.0,7.0,4.0,0.0,0.0
kaffeine.csv,51.0,0.0,9.0,91.0,33.0,30.0,11.0,3.0,1.0,3.0,2.0,12.0,0.0,0.0
oorexx.csv,72.0,0.0,5.0,3.0,61.0,86.0,0.0,55.0,0.0,1.0,6.0,1.0,0.0,0.0
qedo.csv,72.0,0.0,11.0,91.0,61.0,86.0,5.0,6.0,1.0,1.0,13.0,0.0,1.0,1.0
sarasvati.csv,21.0,0.0,21.0,3.0,19.0,54.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0
taokgame.csv,11.0,0.0,23.0,2.0,61.0,86.0,4.0,3.0,0.0,7.0,0.0,260.0,0.0,0.0
zabbix.csv,29.0,0.0,4.0,9.0,61.0,20.0,2.0,1.0,2.0,1.0,9.0,14.0,0.0,0.0
