,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.9,0.93,0.8,0.92,0.86,0.91,0.58,0.9,0.57,0.75,0.5,0.94,0.58
gamestone.csv,0.92,0.39,0.77,0.53,0.82,0.5,0.53,0.88,0.92,0.8,0.8,0.59,0.38
gbif-providertoolkit.csv,0.66,0.95,0.53,0.53,0.55,0.5,0.65,0.69,0.52,0.68,0.45,0.67,0.95
growl-for-windows.csv,0.42,0.75,0.0,0.0,0.42,0.64,0.31,0.0,0.0,0.5,0.37,0.62,0.0
gss.csv,0.36,0.41,0.33,0.29,0.3,0.35,0.31,0.38,0.34,0.44,0.4,0.32,0.3
heekscad.csv,0.37,0.61,0.4,0.48,0.37,0.4,0.35,0.39,0.36,0.4,0.56,0.37,0.34
igarden.csv,0.43,0.59,0.49,0.57,0.48,0.47,0.32,0.51,0.44,0.47,0.6,0.45,0.36
levent.csv,0.52,0.94,0.94,0.88,0.42,0.45,0.37,0.96,0.0,0.75,0.44,0.56,0.0
openmsx.csv,0.52,0.44,0.75,0.33,0.74,0.89,0.5,0.67,0.75,0.62,0.44,0.73,0.7
pnotepad.csv,0.38,0.56,0.36,0.31,0.34,0.41,0.3,0.41,0.34,0.4,0.4,0.31,0.32
quark.csv,0.5,0.0,0.94,0.92,0.86,0.0,0.9,0.89,0.54,0.8,0.67,0.0,0.62
tango-cs.csv,0.48,0.63,0.48,0.32,0.4,0.36,0.56,0.4,0.37,0.52,0.52,0.52,0.48
xcsoar.csv,0.38,0.75,0.36,0.38,0.43,0.42,0.34,0.45,0.34,0.6,0.53,0.65,0.36
