,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.3,0.0,0.32,0.19,0.29,0.2,0.71,0.09,0.77,0.4,0.47,0.42,0.42
gamestone.csv,0.13,0.88,0.25,0.42,0.21,0.02,0.19,0.15,0.08,0.08,0.17,0.25,0.49
gbif-providertoolkit.csv,0.53,0.0,0.62,0.55,0.71,0.55,0.62,0.43,0.62,0.48,0.5,0.64,0.2
growl-for-windows.csv,0.49,0.25,0.0,0.0,0.71,0.2,1.0,0.0,0.0,0.04,0.73,0.72,0.0
gss.csv,0.73,0.88,0.91,0.87,0.86,0.61,1.0,0.63,1.0,0.65,0.73,0.64,0.87
heekscad.csv,0.77,0.62,0.64,0.58,0.79,0.61,0.57,0.6,1.0,0.83,0.5,0.47,0.91
igarden.csv,0.58,0.62,0.54,0.61,0.64,0.61,0.76,0.46,1.0,0.73,0.4,0.36,0.8
levent.csv,0.81,0.12,0.18,0.1,0.86,0.73,0.9,0.12,0.0,0.38,0.67,0.78,0.0
openmsx.csv,0.77,0.88,0.36,0.84,0.29,0.37,0.57,0.55,0.31,0.38,0.6,0.58,0.29
pnotepad.csv,0.65,0.88,0.89,1.0,0.86,0.69,0.81,0.58,1.0,0.88,0.7,0.56,0.98
quark.csv,0.44,0.12,0.29,0.26,0.21,0.0,0.33,0.08,1.0,0.1,0.07,0.03,0.31
tango-cs.csv,0.77,0.62,0.61,0.77,0.86,0.65,0.33,0.65,0.92,0.48,0.43,0.42,0.67
xcsoar.csv,0.61,0.25,0.7,0.65,0.64,0.39,0.52,0.38,1.0,0.21,0.47,0.61,0.56
