,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.51,0.6,0.12,0.12,0.1,0.51,0.45,0.38,0.29,0.07,0.33,0.12,0.29,0.05,0.92,0.37,0.18,0.68,0.73
co-ode-owl-plugins.csv,0.52,0.6,0.24,0.23,0.15,0.67,0.51,0.47,0.71,0.6,0.46,0.09,0.35,0.08,0.76,0.47,0.13,0.89,0.8
exl.csv,0.44,0.59,0.11,0.2,0.17,0.6,0.46,0.25,0.28,0.06,0.49,0.1,0.18,0.08,0.94,0.38,0.26,0.74,1.0
firebreath.csv,0.7,0.83,0.26,0.18,0.18,0.7,0.54,0.58,1.0,0.17,0.48,0.14,0.33,0.17,0.68,0.36,0.2,0.67,0.89
irplus.csv,0.48,0.89,0.08,0.26,0.32,0.68,0.52,0.46,0.34,0.11,0.53,0.21,0.25,0.12,0.6,0.53,0.25,0.88,0.95
jasperreports.csv,0.4,0.63,0.11,0.12,0.09,0.48,0.53,0.4,0.28,0.06,0.2,0.16,0.2,0.28,0.94,0.3,0.21,1.0,0.79
javaprofiler.csv,0.51,0.67,0.18,0.12,0.11,0.6,0.49,0.48,0.26,0.29,0.52,0.11,0.31,0.08,0.7,0.45,0.19,0.86,0.76
konversation.csv,0.62,0.68,0.21,0.33,0.2,0.77,0.62,0.53,0.29,0.32,0.37,0.11,0.35,0.07,0.85,0.44,0.13,0.68,0.79
lazarus-ccr.csv,0.76,0.6,0.17,0.05,0.1,0.51,0.43,0.35,0.27,0.34,0.29,0.11,0.37,0.02,0.8,0.33,0.1,0.57,0.68
linuxsh.csv,0.47,0.71,0.29,0.1,0.27,0.61,0.45,0.38,0.0,0.55,0.46,0.09,0.09,0.02,0.74,0.6,0.25,0.85,0.84
migen.csv,0.36,0.87,0.2,0.21,0.24,0.71,0.65,0.51,0.33,0.38,0.5,0.11,0.14,0.22,0.91,0.42,0.12,0.82,0.86
moviesandbox.csv,0.43,0.64,0.27,0.22,0.17,0.68,0.5,0.43,0.22,0.32,0.54,0.12,0.3,0.06,0.69,0.48,0.12,0.71,0.81
mvnforum.csv,0.67,0.57,0.19,0.0,0.19,0.59,0.55,0.53,1.0,0.92,0.59,0.11,0.46,0.01,0.84,0.62,0.05,0.6,0.72
nebuladevice.csv,0.43,0.47,0.0,0.06,0.06,0.43,0.37,0.3,0.27,0.26,0.27,0.1,0.23,0.05,0.79,0.24,0.33,0.68,0.84
ontomorphtab.csv,0.38,0.83,0.18,0.15,0.15,0.6,0.5,0.44,0.31,0.08,0.42,0.16,0.27,0.14,0.71,0.38,0.19,0.79,0.86
opengs.csv,1.0,1.0,0.3,0.38,0.28,0.63,0.48,0.45,0.6,0.75,0.61,0.15,0.26,0.05,0.88,0.42,0.15,0.73,0.94
scite-ru.csv,0.48,0.71,0.26,0.14,0.14,0.61,0.48,0.4,0.46,0.19,0.52,0.12,0.27,0.05,0.77,0.4,0.13,0.67,0.79
tokratan.csv,0.5,0.76,0.21,0.29,0.27,0.65,0.63,0.46,1.0,0.12,0.8,0.25,0.32,0.08,1.0,0.58,0.17,0.7,0.96
xuggle.csv,0.53,0.78,0.21,0.22,0.31,0.61,0.55,0.44,0.39,0.13,0.58,0.2,0.34,0.05,0.8,0.42,0.15,0.71,0.88
