,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.81,1.0,0.82,0.65,0.74,0.71,0.82,0.7,0.65,1.01,0.61,0.27
gwanted.csv,0.54,0.54,0.4,0.49,0.75,0.68,0.67,0.37,0.91,1.0,0.65,0.98
ivatamasks.csv,0.91,0.31,0.95,0.41,0.98,0.76,0.92,0.65,0.76,1.0,0.87,0.65
java-gnome.csv,0.4,1.18,0.7,0.84,0.68,0.82,0.88,0.82,0.23,0.72,0.72,0.8
orc.csv,0.95,0.5,0.28,0.51,0.93,0.67,0.74,0.59,0.97,1.0,0.62,0.95
plato.csv,0.84,0.5,0.93,0.61,0.96,0.25,0.86,0.55,0.88,1.0,0.96,0.8
rodin-b-sharp.csv,0.47,1.2,0.51,0.82,0.88,0.7,0.24,0.84,0.46,1.0,0.73,0.84
tycho.csv,0.99,0.71,0.65,0.72,0.71,0.75,0.95,0.66,0.66,0.36,0.86,0.88
umber.csv,0.16,1.01,0.9,0.65,0.77,1.0,0.68,0.91,0.94,0.97,0.66,0.97
unicase.csv,0.28,1.0,0.89,0.91,0.85,0.75,0.77,0.64,0.75,0.82,0.47,1.0
vienna-add-in.csv,0.61,1.06,0.8,0.86,0.47,0.81,0.82,0.72,0.87,0.59,0.93,0.82
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.94,1.0,0.96,0.99,0.9
