,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.9,0.38,0.5,0.4,0.43,0.9,0.46,0.58,0.78,0.75,0.75,0.67,0.42,0.75,0.56,0.67,0.9,0.59,0.73
bzbyte.csv,0.52,0.31,0.57,0.38,0.44,0.36,0.42,0.41,0.47,0.48,0.32,0.39,0.38,0.53,0.5,0.47,0.43,0.44,0.49
chrysalis.csv,0.67,0.8,0.0,0.64,0.56,0.91,0.8,0.83,0.98,0.0,0.0,0.5,0.8,0.5,0.86,0.86,0.92,0.77,0.91
dspace-gsoc.csv,0.64,0.46,0.45,0.7,0.59,0.79,0.47,0.48,0.57,0.69,0.4,0.59,0.64,0.42,0.58,0.48,0.83,0.64,0.73
fbmanager.csv,0.64,0.46,0.48,0.5,0.36,0.38,0.64,0.53,0.47,0.44,0.37,0.38,0.46,0.43,0.61,0.56,0.49,0.52,0.48
fityk.csv,0.6,0.5,0.46,0.53,0.39,0.74,0.59,0.45,0.7,0.64,0.54,0.48,0.5,0.43,0.5,0.86,0.85,0.52,0.57
fleet-simulator.csv,0.42,0.27,0.36,0.34,0.35,0.34,0.31,0.34,0.39,0.4,0.27,0.33,0.32,0.32,0.43,0.3,0.4,0.33,0.44
freenet.csv,0.52,0.38,0.41,0.45,0.43,0.51,0.45,0.45,0.53,0.45,0.32,0.45,0.36,0.41,0.51,0.43,0.57,0.37,0.5
google-caja.csv,0.43,0.32,0.34,0.35,0.32,0.31,0.32,0.34,0.43,0.5,0.31,0.33,0.35,0.35,0.36,0.3,0.51,0.32,0.45
k3b.csv,0.43,0.34,0.36,0.42,0.38,0.47,0.46,0.46,0.4,0.44,0.31,0.43,0.34,0.36,0.51,0.61,0.52,0.43,0.47
mediaportal.csv,0.5,0.89,0.0,0.51,0.49,0.46,0.82,0.47,0.99,0.5,0.0,0.47,0.95,0.0,0.95,0.34,0.68,0.79,0.53
myfaces.csv,0.93,0.56,0.82,0.44,0.44,0.38,0.5,0.45,0.98,0.92,0.92,0.69,0.56,0.79,0.96,0.35,0.65,0.69,0.63
onotoa.csv,0.56,0.39,0.6,0.52,0.44,0.39,0.4,0.43,0.5,0.96,0.46,0.55,0.64,0.55,0.49,0.45,0.49,0.38,0.56
paintown.csv,0.51,0.56,0.58,0.39,0.5,0.4,0.55,0.45,0.51,0.52,0.39,0.41,0.48,0.41,0.57,0.4,0.53,0.45,0.52
poormans.csv,0.81,0.47,0.92,0.42,0.36,0.56,0.6,0.56,0.56,0.9,0.83,0.73,0.46,0.94,0.71,0.44,0.87,0.44,0.56
sqlpower-library.csv,0.43,0.34,0.53,0.42,0.36,0.48,0.31,0.38,0.63,0.45,0.48,0.41,0.33,0.41,0.54,0.38,0.64,0.39,0.53
triplea.csv,0.47,0.42,0.52,0.38,0.38,0.45,0.5,0.39,0.5,0.46,0.35,0.47,0.53,0.44,0.55,0.38,0.44,0.43,0.55
xamj.csv,0.49,0.44,0.48,0.47,0.36,0.52,0.56,0.52,0.54,0.45,0.69,0.41,0.44,0.42,0.49,0.5,0.59,0.5,0.65
