,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.7,0.69,1.0,0.92,0.84,0.9,1.0,0.87,0.38,0.25,0.67,0.8,0.29,1.0,0.44,1.0,0.4,1.0,0.63
bzbyte.csv,0.45,0.6,0.52,0.72,0.66,0.8,0.47,0.73,0.15,0.69,0.64,1.0,0.19,0.55,0.19,0.88,0.2,0.97,0.34
chrysalis.csv,1.0,0.8,1.0,0.93,0.83,0.91,0.7,1.0,0.2,1.0,0.0,1.0,0.42,0.5,0.29,1.0,1.0,1.0,0.47
dspace-gsoc.csv,0.46,0.58,0.57,0.65,0.6,0.79,0.38,0.79,0.11,0.83,0.97,0.72,0.14,0.7,0.18,1.0,0.07,0.95,0.26
fbmanager.csv,0.71,0.71,1.0,0.77,0.73,0.79,0.64,0.81,0.17,0.82,0.63,0.8,0.27,0.77,0.35,1.0,0.18,1.0,0.38
fityk.csv,0.5,0.59,0.59,0.85,0.76,0.83,0.76,0.79,0.22,0.73,0.73,0.81,0.27,0.98,0.41,0.86,0.17,1.0,0.42
fleet-simulator.csv,0.56,0.61,0.58,0.77,0.66,0.82,0.52,0.74,0.16,0.76,0.67,0.77,0.21,0.7,0.22,1.0,0.24,0.98,0.33
freenet.csv,0.5,0.62,0.62,0.74,1.0,0.83,0.55,0.77,0.16,0.78,0.62,0.77,0.22,0.7,0.27,1.0,0.2,0.98,0.32
google-caja.csv,0.68,0.65,0.69,0.81,0.69,0.81,0.61,0.99,0.16,0.72,0.74,0.75,0.2,0.7,0.32,1.0,0.26,1.0,0.38
k3b.csv,0.55,0.49,0.56,0.81,0.75,0.79,0.58,0.81,0.22,1.0,0.67,0.8,0.22,0.68,0.21,0.75,0.31,0.97,0.49
mediaportal.csv,0.5,0.78,0.0,0.7,0.61,0.87,0.73,0.72,0.11,0.0,1.0,0.73,1.0,1.0,0.19,0.87,0.08,1.0,0.27
myfaces.csv,0.43,0.72,0.64,0.69,0.63,0.83,0.57,0.68,1.0,0.5,0.62,0.78,0.22,0.5,0.48,0.87,0.08,1.0,0.29
onotoa.csv,0.37,0.64,0.54,0.7,0.64,1.0,0.5,0.74,0.12,0.61,0.67,0.75,0.2,0.58,0.21,0.83,0.15,0.97,0.27
paintown.csv,0.99,0.61,0.79,0.85,0.71,0.82,0.6,0.79,0.15,0.75,0.64,0.76,0.27,0.68,0.33,1.0,0.2,1.0,0.33
poormans.csv,0.37,0.74,0.58,0.88,0.74,0.8,0.73,0.81,0.28,0.6,0.5,0.87,0.19,0.69,1.0,1.0,0.35,1.0,0.6
sqlpower-library.csv,0.59,0.6,0.56,1.0,0.71,0.79,0.58,0.87,0.37,0.73,0.7,0.91,0.21,0.63,0.34,0.95,0.24,1.0,0.49
triplea.csv,0.59,1.0,0.65,0.84,0.73,0.79,0.47,0.79,0.25,0.73,0.65,0.78,0.22,0.64,0.25,0.92,0.3,0.97,0.48
xamj.csv,0.64,0.76,0.58,0.81,0.71,0.86,0.56,0.9,0.33,0.76,0.69,0.78,0.26,0.7,0.35,1.0,0.25,1.0,1.0
